ticker,date,open,high,low,close
SUIG,2025-08-27,6.05,6.47,5.9,6.2
SUIG,2025-08-28,6.29,7.18,6.21,7.13
SUIG,2025-08-29,6.98,7.155,5.9,6.93
SUIG,2025-09-02,6.74,7.25,6.165,6.56
SUIG,2025-09-03,6.91,6.91,6.1001,6.14
SUIG,2025-09-04,6.24,6.38,5.8707,6.15
SUIG,2025-09-05,6.39,6.49,5.87,6.23
SUIG,2025-09-08,6.29,6.88,5.91,5.94
SUIG,2025-09-09,4.64,4.68,4.01,4.11
SUIG,2025-09-10,4.28,4.41,3.95,4.33
SUIG,2025-09-11,4.34,4.46,4.075,4.3
SUIG,2025-09-12,4.28,4.35,4.07,4.26
SUIG,2025-09-15,4.33,4.45,4.1,4.28
SUIG,2025-09-16,4.28,4.3726,3.91,4.11
SUIG,2025-09-17,4.11,4.19,3.94,4.06
SUIG,2025-09-18,4.26,4.7,4.13,4.58
SUIG,2025-09-19,4.57,4.57,4.3,4.41
SUIG,2025-09-22,4.15,4.29,4.01,4.19
SUIG,2025-09-23,4.1,4.17,3.85,3.9
SUIG,2025-09-24,3.915,4.33,3.85,4.16
SUIG,2025-09-25,3.85,4.05,3.68,3.87
SUIG,2025-09-26,3.861,4.0595,3.78,3.93
SUIG,2025-09-29,3.97,4.1557,3.91,4.04
SUIG,2025-09-30,3.95,4.0392,3.76,3.86
SUIG,2025-10-01,3.99,4.3,3.95,4.16
SUIG,2025-10-02,4.3,4.38,4.05,4.32
SUIG,2025-10-03,4.42,4.69,4.21,4.49
SUIG,2025-10-06,4.55,4.71,4.41,4.58
SUIG,2025-10-07,4.63,4.64,4.1,4.29
SUIG,2025-10-08,4.34,4.36,4.1,4.29
SUIG,2025-10-09,4.25,4.29,4.01,4.1
SUIG,2025-10-10,4.1,4.22,3.7,3.71
SUIG,2025-10-13,3.72,3.76,3.45,3.74
SUIG,2025-10-14,3.64,3.74,3.44,3.62
SUIG,2025-10-15,3.7,3.73,3.21,3.295
SUIG,2025-10-16,3.46,3.485,3.05,3.06
SUIG,2025-10-17,3.0,3.19,2.91,3.04
SUIG,2025-10-20,3.25,3.48,3.19,3.23
SUIG,2025-10-21,3.21,3.3,3.0489,3.2
SUIG,2025-10-22,3.1,3.1141,2.8,2.91
SUIG,2025-10-23,3.17,3.38,3.13,3.29
SUIG,2025-10-24,3.33,3.37,3.0,3.06
SUIG,2025-10-27,3.15,3.3696,3.15,3.26
SUIG,2025-10-28,3.26,3.458,3.22,3.3
SUIG,2025-10-29,3.27,3.33,3.06,3.09
SUIG,2025-10-30,3.08,3.08,2.68,2.68
SUIG,2025-10-31,2.91,3.01,2.83,2.99
SUIG,2025-11-03,2.89,2.9,2.68,2.85
SUIG,2025-11-04,2.79,2.79,2.52,2.53
SUIG,2025-11-05,2.65,2.76,2.55,2.56
SUIG,2025-11-06,2.57,2.57,2.4,2.48
SUIG,2025-11-07,2.41,2.75,2.31,2.74
SUIG,2025-11-10,2.84,2.84,2.43,2.43
SUIG,2025-11-11,2.42,2.48,2.28,2.29
SUIG,2025-11-12,2.33,2.435,2.25,2.255
SUIG,2025-11-13,2.21,2.44,2.11,2.16
SUIG,2025-11-14,2.08,2.26,2.05,2.115
SUIG,2025-11-17,2.08,2.08,1.75,1.78
SUIG,2025-11-18,1.76,2.095,1.76,2.085
SUIG,2025-11-19,2.05,2.06,1.845,1.99
SUIG,2025-11-20,2.05,2.115,1.81,1.83
SUIG,2025-11-21,1.82,1.855,1.68,1.77
SUIG,2025-11-24,1.79,2.04,1.745,2.03
SUIG,2025-11-25,1.96,2.07,1.89,1.94
SUIG,2025-11-26,1.94,2.195,1.92,2.075
SUIG,2025-11-28,2.09,2.09,1.975,2.02
SUIG,2025-12-01,1.91,2.01,1.81,1.82
SUIG,2025-12-02,1.88,2.13,1.84,1.96
SUIG,2025-12-03,2.05,2.068,1.95,2.02
SUIG,2025-12-04,2.01,2.115,1.97,2.05
SUIG,2025-12-05,2.05,2.05,1.89,1.96
SUIG,2025-12-08,1.98,2.0199,1.91,1.92
SUIG,2025-12-09,1.94,2.245,1.93,2.19
SUIG,2025-12-10,2.16,2.185,2.05,2.18
SUIG,2025-12-11,2.13,2.13,2.005,2.07
SUIG,2025-12-12,2.1,2.22,1.98,1.99
SUIG,2025-12-15,2.0,2.0112,1.8524,1.88
SUIG,2025-12-16,1.9,1.99,1.89,1.975
SUIG,2025-12-17,1.95,1.96,1.77,1.775
SUIG,2025-12-18,1.83,1.9,1.79,1.8
SUIG,2025-12-19,1.81,1.9977,1.81,1.97
SUIG,2025-12-22,1.93,1.945,1.76,1.82
SUIG,2025-12-23,1.8,1.85,1.75,1.8
SUIG,2025-12-24,1.79,1.855,1.74,1.81
SUIG,2025-12-26,1.79,1.795,1.74,1.75
SUIG,2025-12-29,1.77,1.84,1.68,1.69
SUIG,2025-12-30,1.7,1.76,1.65,1.7
SUIG,2025-12-31,1.69,1.75,1.64,1.67
SUIG,2026-01-02,1.71,1.805,1.7,1.79
SUIG,2026-01-05,1.84,1.995,1.83,1.99
SUIG,2026-01-06,2.095,2.15,1.85,1.94
SUIG,2026-01-07,1.9,1.93,1.84,1.85
SUIG,2026-01-08,1.87,1.965,1.812,1.95
SUIG,2026-01-09,1.92,1.93,1.8,1.89
SUIG,2026-01-12,1.88,1.98,1.83,1.85
SUIG,2026-01-13,1.87,1.95,1.825,1.93
