ticker,date,open,high,low,close
SUPX,2025-06-02,12.1,14.42,11.5,11.99
SUPX,2025-06-03,11.9,12.4,11.19,11.65
SUPX,2025-06-04,11.5,11.7,10.7,10.7
SUPX,2025-06-05,10.56,10.56,10.1,10.18
SUPX,2025-06-06,10.47,10.47,10.12,10.135
SUPX,2025-06-09,11.01,11.3767,9.9,9.94
SUPX,2025-06-10,9.96,10.495,9.65,10.3
SUPX,2025-06-11,10.5,10.5,9.5,9.5
SUPX,2025-06-12,9.43,9.885,9.13,9.17
SUPX,2025-06-13,9.21,9.695,9.02,9.695
SUPX,2025-06-16,9.82,9.89,9.715,9.8
SUPX,2025-06-17,9.77,10.01,9.38,9.79
SUPX,2025-06-18,9.79,10.1,9.3,9.53
SUPX,2025-06-20,9.9,10.4,9.675,9.75
SUPX,2025-06-23,10.05,10.05,9.61,9.94
SUPX,2025-06-24,9.94,10.105,9.86,10.07
SUPX,2025-06-25,10.02,10.02,9.85,9.85
SUPX,2025-06-26,9.85,10.0,9.8,9.9
SUPX,2025-06-27,9.99,10.0,9.7692,9.973
SUPX,2025-06-30,9.94,10.1,9.8134,10.03
SUPX,2025-07-01,10.09,10.31,10.0,10.17
SUPX,2025-07-02,10.2,10.51,9.905,10.49
SUPX,2025-07-03,10.3,10.69,10.2,10.37
SUPX,2025-07-07,10.39,10.49,10.21,10.36
SUPX,2025-07-08,10.28,10.6082,10.24,10.39
SUPX,2025-07-09,10.45,10.97,10.37,10.41
SUPX,2025-07-10,10.48,10.66,10.42,10.52
SUPX,2025-07-11,10.46,10.46,10.405,10.46
SUPX,2025-07-14,10.471,10.525,10.2,10.21
SUPX,2025-07-15,10.19,10.34,9.98,10.28
SUPX,2025-07-16,10.24,10.28,10.1,10.28
SUPX,2025-07-17,10.31,10.32,10.145,10.32
SUPX,2025-07-18,10.33,10.33,10.08,10.21
SUPX,2025-07-21,10.26,10.395,10.24,10.395
SUPX,2025-07-22,10.38,10.79,10.3,10.5
SUPX,2025-07-23,10.56,10.9867,10.45,10.66
SUPX,2025-07-24,10.79,10.99,10.3941,10.52
SUPX,2025-07-25,10.8158,11.8599,10.69,10.97
SUPX,2025-07-28,10.97,11.49,10.86,11.36
SUPX,2025-07-29,11.47,16.75,11.47,16.12
SUPX,2025-07-30,19.1,29.64,16.4,23.21
SUPX,2025-07-31,20.45,22.9587,19.2101,22.03
SUPX,2025-08-01,20.15,21.55,16.9,20.46
SUPX,2025-08-04,19.61,24.5,19.61,23.02
SUPX,2025-08-05,22.82,24.48,21.8,23.89
