ticker,date,open,high,low,close
SVRN,2025-11-17,1.46,1.46,1.32,1.39
SVRN,2025-11-18,1.31,1.61,1.31,1.5
SVRN,2025-11-19,1.5,1.51,1.39,1.39
SVRN,2025-11-20,1.4,1.44,1.3,1.33
SVRN,2025-11-21,1.29,1.39,1.27,1.36
SVRN,2025-11-24,1.36,1.4202,1.33,1.395
SVRN,2025-11-25,1.38,1.405,1.32,1.37
SVRN,2025-11-26,1.35,1.39,1.35,1.36
SVRN,2025-11-28,1.35,1.41,1.35,1.37
SVRN,2025-12-01,1.46,1.465,1.37,1.38
SVRN,2025-12-02,1.36,1.39,1.35,1.36
SVRN,2025-12-03,1.3897,1.46,1.36,1.42
SVRN,2025-12-04,1.4,1.45,1.38,1.4
SVRN,2025-12-05,1.41,1.4494,1.38,1.39
SVRN,2025-12-08,1.43,1.445,1.38,1.395
SVRN,2025-12-09,1.36,1.4,1.35,1.38
SVRN,2025-12-10,1.39,1.39,1.345,1.37
SVRN,2025-12-11,1.3642,1.38,1.32,1.35
SVRN,2025-12-12,1.33,1.3641,1.33,1.34
SVRN,2025-12-15,1.32,1.3326,1.3,1.32
SVRN,2025-12-16,1.29,1.37,1.2703,1.34
SVRN,2025-12-17,1.31,1.33,1.15,1.15
SVRN,2025-12-18,1.168,1.18,1.01,1.02
SVRN,2025-12-19,1.09,1.1899,1.07,1.0916
SVRN,2025-12-22,1.07,1.11,1.06,1.07
SVRN,2025-12-23,1.07,1.0899,1.03,1.05
SVRN,2025-12-24,1.04,1.061,1.01,1.01
SVRN,2025-12-26,1.01,1.0451,1.0,1.02
SVRN,2025-12-29,1.01,1.08,1.01,1.05
SVRN,2025-12-30,1.04,1.11,1.0347,1.06
SVRN,2025-12-31,1.06,1.18,1.06,1.08
SVRN,2026-01-02,1.12,1.2078,1.11,1.16
SVRN,2026-01-05,1.14,1.2636,1.14,1.23
SVRN,2026-01-06,1.25,1.2847,1.24,1.24
SVRN,2026-01-07,1.27,1.3,1.24,1.24
SVRN,2026-01-08,1.23,1.3183,1.23,1.26
SVRN,2026-01-09,1.2501,1.28,1.25,1.27
SVRN,2026-01-12,1.25,1.345,1.23,1.25
SVRN,2026-01-13,1.26,1.33,1.15,1.16
SVRN,2026-01-14,1.15,1.28,1.15,1.2
SVRN,2026-01-15,1.2,1.265,1.2,1.2
SVRN,2026-01-16,1.22,1.23,1.2,1.2
SVRN,2026-01-20,1.22,1.2701,1.2005,1.23
SVRN,2026-01-21,1.2084,1.2899,1.2,1.21
SVRN,2026-01-22,1.22,1.24,1.2,1.2
SVRN,2026-01-23,1.22,1.24,1.12,1.15
SVRN,2026-01-26,1.16,1.16,1.06,1.08
SVRN,2026-01-27,1.11,1.16,1.07,1.09
SVRN,2026-01-28,1.1,1.1,1.01,1.04
SVRN,2026-01-29,1.04,1.04,0.9527,0.9827
SVRN,2026-01-30,1.0,1.0,0.95,0.9603
SVRN,2026-02-02,0.9845,1.0,0.946,0.951
