ticker,date,open,high,low,close
TDWD,2025-12-08,9.87,9.88,9.8599,9.86
TDWD,2025-12-09,9.85,9.85,9.83,9.85
TDWD,2025-12-10,9.85,9.86,9.85,9.86
TDWD,2025-12-11,9.85,9.86,9.84,9.85
TDWD,2025-12-12,9.855,9.86,9.84,9.85
TDWD,2025-12-15,9.855,9.86,9.85,9.85
TDWD,2025-12-16,9.8502,9.86,9.8502,9.86
TDWD,2025-12-17,9.86,9.86,9.86,9.86
TDWD,2025-12-18,9.86,9.86,9.86,9.86
TDWD,2025-12-19,9.86,9.86,9.86,9.86
TDWD,2025-12-22,9.86,9.86,9.86,9.86
TDWD,2025-12-23,9.855,9.86,9.84,9.85
TDWD,2025-12-24,9.85,9.85,9.85,9.85
TDWD,2025-12-26,9.8566,9.8566,9.85,9.85
TDWD,2025-12-29,9.86,9.86,9.85,9.86
TDWD,2025-12-30,9.857,9.86,9.85,9.86
TDWD,2025-12-31,9.86,9.86,9.84,9.85
TDWD,2026-01-02,9.85,9.87,9.85,9.87
TDWD,2026-01-05,9.86,9.87,9.85,9.85
TDWD,2026-01-06,9.86,9.86,9.86,9.86
TDWD,2026-01-07,9.87,9.88,9.87,9.88
TDWD,2026-01-08,9.87,9.88,9.87,9.87
TDWD,2026-01-09,9.88,9.88,9.87,9.87
TDWD,2026-01-12,9.875,9.885,9.875,9.88
TDWD,2026-01-13,9.9,9.91,9.9,9.91
TDWD,2026-01-14,9.9,9.91,9.89,9.89
TDWD,2026-01-15,9.9,9.9,9.89,9.89
TDWD,2026-01-16,9.9033,9.9033,9.89,9.89
TDWD,2026-01-20,9.8987,9.91,9.8987,9.9
TDWD,2026-01-21,9.91,9.91,9.91,9.91
TDWD,2026-01-22,9.9,9.9,9.9,9.9
TDWD,2026-01-23,9.91,9.91,9.91,9.91
TDWD,2026-01-26,9.91,9.91,9.9098,9.91
TDWD,2026-01-27,9.935,9.935,9.935,9.935
TDWD,2026-02-02,9.93,9.93,9.93,9.93
