ticker,date,open,high,low,close
TJGC,2025-12-11,0.891,0.9078,0.85,0.89
TJGC,2025-12-12,0.8806,0.8808,0.8,0.82
TJGC,2025-12-15,0.8191,0.844152,0.7,0.71
TJGC,2025-12-16,0.729,0.729,0.6784,0.6807
TJGC,2025-12-17,0.68,0.68,0.624957,0.65
TJGC,2025-12-18,0.63,0.67,0.63,0.67
TJGC,2025-12-19,0.668001,0.97,0.668,0.8878
TJGC,2025-12-22,0.91,1.29,0.91,1.12
TJGC,2025-12-23,1.12,1.19,1.06,1.12
TJGC,2025-12-24,1.09,1.09,1.0023,1.06
TJGC,2025-12-26,1.01,1.01,0.8791,0.9156
TJGC,2025-12-29,0.8974,1.03,0.8974,0.9022
TJGC,2025-12-30,0.8751,0.96,0.8751,0.9167
TJGC,2025-12-31,0.9168,0.93,0.89,0.915
TJGC,2026-01-02,0.9001,0.9315,0.9001,0.9315
TJGC,2026-01-05,0.95,1.015,0.9315,0.9935
TJGC,2026-01-06,1.04,1.1,0.9999,1.0
TJGC,2026-01-07,0.9999,1.1,0.9999,1.06
TJGC,2026-01-08,1.06,1.1,1.03,1.09
TJGC,2026-01-09,1.14,1.17,1.11,1.13
TJGC,2026-01-12,1.16,1.43,1.16,1.39
TJGC,2026-01-13,1.43,1.49,1.32,1.44
TJGC,2026-01-14,1.44,1.55,1.42,1.44
TJGC,2026-01-15,1.45,1.48,1.01,1.03
TJGC,2026-01-16,1.07,1.38,1.07,1.23
TJGC,2026-01-20,1.28,1.36,1.21,1.215
TJGC,2026-01-21,1.25,1.28,1.23,1.23
TJGC,2026-01-22,1.21,1.23,1.16,1.2
TJGC,2026-01-23,1.2,1.2303,1.09,1.11
TJGC,2026-01-26,1.1,1.14,1.05,1.06
TJGC,2026-01-27,1.06,1.07,1.03,1.05
TJGC,2026-01-28,1.06,1.09,1.06,1.07
TJGC,2026-01-29,1.09,1.15,1.02,1.02
TJGC,2026-01-30,1.06,1.09,1.04,1.065
TJGC,2026-02-02,1.02,1.075,1.02,1.05
