ticker,date,open,high,low,close
TLX,2024-11-15,14.9,15.9,14.85,14.85
TLX,2024-11-18,15.4211,15.89,14.75,14.8807
TLX,2024-11-19,15.54,15.54,15.1,15.3
TLX,2024-11-20,15.3,15.6,15.0,15.0
TLX,2024-11-21,14.8,14.8,14.4399,14.768
TLX,2024-11-22,15.0,15.06,14.61,14.7
TLX,2024-11-25,15.14,15.45,14.9,15.15
TLX,2024-11-26,15.33,15.61,15.11,15.35
TLX,2024-11-27,15.42,15.42,15.4,15.42
TLX,2024-11-29,15.7,16.55,15.7,16.4931
TLX,2024-12-02,17.85,17.85,16.1,16.19
TLX,2024-12-03,16.9,16.9,16.19,16.19
TLX,2024-12-04,16.42,17.2,16.25,16.35
TLX,2024-12-05,16.3,16.3,16.0,16.0
TLX,2024-12-06,16.34,17.15,16.01,16.7
TLX,2024-12-09,16.4,17.3556,16.14,16.37
TLX,2025-01-27,18.9,19.1964,17.9,18.01
TLX,2025-01-28,18.4,18.9615,18.11,18.11
TLX,2025-01-29,18.8,18.8899,18.01,18.59
TLX,2025-01-30,18.59,18.75,18.2,18.2
TLX,2025-01-31,18.9,19.1899,18.3,18.6
TLX,2025-02-03,18.25,18.625,17.99,18.36
TLX,2025-02-04,18.45,19.1,18.45,18.9
TLX,2025-02-05,18.63,19.0176,18.4,18.435
TLX,2025-02-06,18.5,19.0204,18.01,18.29
TLX,2025-02-07,18.44,19.0912,18.0201,18.05
TLX,2025-02-10,18.7,18.8199,18.09,18.09
TLX,2025-02-11,17.99,17.99,17.45,17.64
TLX,2025-02-12,17.45,17.72,17.2307,17.6
TLX,2025-02-13,17.55,18.3828,17.0701,17.29
TLX,2025-02-14,17.0,17.855,17.0,17.19
TLX,2025-02-18,17.53,18.7688,17.35,17.35
TLX,2025-02-19,17.41,17.41,16.92,17.19
TLX,2025-02-20,17.02,17.7502,17.02,17.41
TLX,2025-02-21,19.13,20.0,19.01,19.5
TLX,2025-02-24,19.89,30.36,19.89,20.97
TLX,2025-02-25,20.15,20.5717,19.44,20.1
TLX,2025-02-26,19.4,19.7,19.13,19.205
TLX,2025-02-27,19.3,19.3,18.9,18.9
TLX,2025-02-28,17.8,18.69,17.6729,17.7415
TLX,2025-03-03,18.18,18.6803,17.92,18.045
TLX,2025-03-04,17.7,18.5,16.7495,17.51
TLX,2025-03-05,17.51,17.978,17.35,17.7
TLX,2025-03-06,17.875,18.51,17.7736,18.2
TLX,2025-03-07,18.05,18.4,18.05,18.4
TLX,2025-03-10,18.0,18.0,17.56,17.85
TLX,2025-03-11,17.41,17.41,16.56,16.75
TLX,2025-03-12,17.16,17.16,16.93,17.16
TLX,2025-03-13,17.23,17.79,16.95,16.99
TLX,2025-03-14,17.21,17.3816,17.02,17.19
TLX,2025-03-17,17.39,17.6984,17.39,17.6
TLX,2025-03-18,17.26,17.35,17.26,17.3
TLX,2025-03-19,17.71,17.7379,17.4973,17.6
TLX,2025-03-20,18.66,18.66,17.5,17.53
