ticker,date,open,high,low,close
TVAI,2025-07-02,10.5,10.5,9.9,9.965
TVAI,2025-07-03,9.99,9.99,9.97,9.975
TVAI,2025-07-07,9.98,9.98,9.9601,9.98
TVAI,2025-07-08,9.985,9.99,9.9799,9.98
TVAI,2025-07-10,9.98,10.0,9.98,9.98
TVAI,2025-07-11,9.99,10.0,9.99,10.0
TVAI,2025-07-15,9.99,9.995,9.99,9.995
TVAI,2025-07-18,10.0,10.0,9.9999,9.9999
TVAI,2025-07-21,9.9923,10.0,9.9899,10.0
TVAI,2025-07-22,9.9805,9.995,9.9805,9.995
TVAI,2025-07-23,9.984,10.0,9.984,9.99
TVAI,2025-07-24,10.0,10.0,10.0,10.0
TVAI,2025-07-25,9.99,10.0,9.99,10.0
TVAI,2025-07-28,9.9991,10.0,9.9955,10.0
TVAI,2025-07-29,10.0,10.0,9.99,9.9963
TVAI,2025-07-30,10.0,10.0,9.995,9.995
TVAI,2025-07-31,10.0,10.0,10.0,10.0
TVAI,2025-08-01,10.0,10.0,10.0,10.0
TVAI,2025-08-04,10.0,10.0,10.0,10.0
TVAI,2025-08-05,10.0,10.0,9.99,10.0
TVAI,2025-08-06,10.0,10.0,9.985,10.0
TVAI,2025-08-07,10.0,10.0,9.98,10.0
TVAI,2025-08-11,10.01,10.01,10.0,10.0
TVAI,2025-08-12,10.01,10.01,10.01,10.01
TVAI,2025-08-13,10.02,10.02,10.02,10.02
TVAI,2025-08-14,10.02,10.02,10.02,10.02
TVAI,2025-08-15,10.04,10.04,10.04,10.04
TVAI,2025-08-19,10.01,10.01,10.01,10.01
TVAI,2025-08-20,10.04,10.04,10.04,10.04
TVAI,2025-08-22,10.04,10.04,10.04,10.04
TVAI,2025-08-27,10.035,10.04,10.03,10.04
TVAI,2025-09-03,10.0,10.06,10.0,10.04
TVAI,2025-09-04,10.0,10.04,10.0,10.04
TVAI,2025-09-05,10.04,10.04,10.04,10.04
TVAI,2025-09-08,10.04,10.04,10.04,10.04
TVAI,2025-09-10,10.0316,10.04,10.0316,10.04
TVAI,2025-09-11,10.03,10.04,10.02,10.04
TVAI,2025-09-12,10.03,10.04,10.03,10.04
TVAI,2025-09-15,10.03,10.03,10.03,10.03
TVAI,2025-09-16,10.03,10.04,10.03,10.04
TVAI,2025-09-18,10.04,10.04,10.04,10.04
TVAI,2025-09-22,10.09,10.09,10.09,10.09
TVAI,2025-09-23,10.06,10.06,10.06,10.06
TVAI,2025-09-24,10.04,10.04,10.04,10.04
TVAI,2025-10-01,10.0399,10.05,10.0399,10.05
TVAI,2025-10-02,10.04,10.04,10.04,10.04
TVAI,2025-10-03,10.04,10.04,10.04,10.04
TVAI,2025-10-08,10.04,10.045,10.04,10.04
TVAI,2025-10-09,10.05,10.1,10.05,10.06
TVAI,2025-10-15,10.06,10.06,10.06,10.06
TVAI,2025-10-21,10.0795,10.0795,10.0795,10.0795
TVAI,2025-10-22,10.05,10.05,10.05,10.05
TVAI,2025-10-24,9.8,10.07,9.75,10.07
TVAI,2025-10-27,10.0701,10.085,10.07,10.07
TVAI,2025-11-10,10.0567,10.0694,10.0567,10.0694
TVAI,2025-11-12,10.06,10.0601,10.06,10.06
TVAI,2025-11-13,10.1,10.1,10.1,10.1
TVAI,2025-11-14,10.095,10.1,10.095,10.1
TVAI,2025-12-01,10.12,10.12,10.12,10.12
TVAI,2025-12-02,10.12,10.13,10.12,10.12
TVAI,2025-12-04,10.12,10.125,10.12,10.125
TVAI,2025-12-10,10.12,10.12,10.12,10.12
TVAI,2025-12-11,10.12,10.12,10.12,10.12
TVAI,2025-12-12,10.125,10.125,10.1225,10.1225
TVAI,2025-12-17,10.11,10.1101,10.11,10.1101
TVAI,2025-12-18,10.12,10.1308,10.11,10.127
TVAI,2025-12-19,10.11,10.115,10.11,10.115
TVAI,2025-12-23,10.115,10.115,10.11,10.11
TVAI,2025-12-29,10.11,10.11,10.11,10.11
TVAI,2025-12-30,10.11,10.12,10.11,10.12
TVAI,2025-12-31,10.12,10.12,10.11,10.12
TVAI,2026-01-05,10.12,10.12,10.115,10.12
TVAI,2026-01-15,10.15,10.15,10.15,10.15
TVAI,2026-01-20,10.18,10.18,10.17,10.17
TVAI,2026-01-21,10.14,10.15,10.13,10.14
TVAI,2026-01-22,10.17,10.21,10.17,10.21
TVAI,2026-01-23,10.19,10.21,10.19,10.2
TVAI,2026-01-26,10.21,10.24,10.21,10.24
TVAI,2026-01-27,10.18,10.18,10.18,10.18
TVAI,2026-01-30,10.16,10.16,10.16,10.16
TVAI,2026-02-02,10.16,10.16,10.16,10.16
