ticker,date,open,high,low,close
TWLV,2021-04-29,9.99,9.99,9.75,9.75
TWLV,2021-04-30,9.7,9.96,9.7,9.9
TWLV,2021-05-03,9.7,9.73,9.7,9.7
TWLV,2021-05-04,9.7,9.725,9.7,9.7
TWLV,2021-05-05,9.7,9.72,9.62,9.66
TWLV,2021-05-06,9.67,9.68,9.655,9.66
TWLV,2021-05-07,9.67,9.68,9.67,9.675
TWLV,2021-05-10,9.68,9.6912,9.66,9.67
TWLV,2021-05-11,9.68,9.7,9.66,9.7
TWLV,2021-05-12,9.65,9.74,9.65,9.74
TWLV,2021-05-13,9.67,9.72,9.66,9.72
TWLV,2021-05-14,9.69,9.7,9.69,9.7
TWLV,2021-05-17,9.65,9.79,9.65,9.7
TWLV,2021-05-18,9.74,9.74,9.6709,9.73
TWLV,2021-05-19,9.95,9.98,9.65,9.7
TWLV,2021-05-20,9.7,9.7,9.7,9.7
TWLV,2021-05-21,9.71,9.75,9.68,9.68
TWLV,2021-05-24,9.68,9.68,9.68,9.68
TWLV,2021-05-25,9.68,9.68,9.68,9.68
TWLV,2021-05-26,9.74,9.75,9.7,9.74
TWLV,2021-05-27,9.74,9.75,9.66,9.75
TWLV,2021-05-28,9.75,9.75,9.75,9.75
TWLV,2021-06-01,9.75,9.75,9.75,9.75
TWLV,2021-06-02,9.73,9.75,9.685,9.685
TWLV,2021-06-03,9.67,9.68,9.67,9.68
TWLV,2021-06-04,9.66,9.72,9.65,9.65
TWLV,2021-06-07,9.66,9.74,9.65,9.7
TWLV,2021-06-08,9.7,9.7,9.7,9.7
TWLV,2021-06-09,9.7,9.72,9.68,9.72
TWLV,2021-06-10,9.68,9.7,9.68,9.68
TWLV,2021-06-11,9.68,9.7,9.68,9.7
TWLV,2021-06-14,9.65,9.69,9.65,9.65
TWLV,2021-06-15,9.65,9.65,9.65,9.65
TWLV,2021-06-16,9.67,9.69,9.65,9.65
TWLV,2021-06-17,9.66,9.67,9.66,9.66
TWLV,2021-06-18,9.67,9.68,9.66,9.67
TWLV,2021-06-21,9.68,9.68,9.65,9.65
TWLV,2021-06-22,9.6899,9.6899,9.67,9.68
TWLV,2021-06-23,9.67,9.67,9.66,9.66
TWLV,2021-06-24,9.71,9.71,9.67,9.67
TWLV,2021-06-25,9.68,9.69,9.67,9.67
TWLV,2021-06-28,9.66,9.725,9.66,9.725
TWLV,2021-06-29,9.7,9.705,9.66,9.66
TWLV,2021-06-30,9.675,9.675,9.65,9.65
TWLV,2021-07-01,9.66,9.66,9.62,9.64
TWLV,2021-07-02,9.64,9.64,9.62,9.62
TWLV,2021-07-06,9.62,9.62,9.62,9.62
TWLV,2021-07-07,9.62,9.62,9.62,9.62
TWLV,2021-07-08,9.62,9.62,9.61,9.61
TWLV,2021-07-09,9.62,9.64,9.62,9.64
TWLV,2021-07-12,9.64,9.65,9.62,9.62
TWLV,2021-07-13,9.65,9.65,9.63,9.65
TWLV,2021-07-14,9.645,9.6599,9.642,9.642
TWLV,2021-07-15,9.64,9.64,9.63,9.63
TWLV,2021-07-16,9.635,9.6391,9.62,9.62
TWLV,2021-07-19,9.64,9.65,9.64,9.64
TWLV,2021-07-20,9.64,9.64,9.64,9.64
TWLV,2021-07-21,9.64,9.71,9.64,9.65
TWLV,2021-07-22,9.64,9.64,9.64,9.64
