ticker,date,open,high,low,close
UFG,2025-01-27,4.68,4.7,4.5,4.66
UFG,2025-01-28,4.51,4.66,4.5,4.51
UFG,2025-01-29,4.66,5.1,4.48,4.56
UFG,2025-01-30,4.74,4.85,4.55,4.85
UFG,2025-01-31,4.88,4.88,4.6539,4.7
UFG,2025-02-03,4.73,4.96,4.73,4.8
UFG,2025-02-04,4.82,5.0,4.2001,4.4
UFG,2025-02-05,4.61,4.74,4.21,4.22
UFG,2025-02-06,4.375,4.74,4.3568,4.7
UFG,2025-02-07,4.55,4.57,4.42,4.42
UFG,2025-02-10,4.56,4.65,4.32,4.36
UFG,2025-02-11,4.62,4.63,4.33,4.55
UFG,2025-02-12,4.54,4.55,4.32,4.36
UFG,2025-02-13,4.5,4.5,4.2515,4.2515
UFG,2025-02-14,4.39,4.42,4.3,4.36
UFG,2025-02-18,4.36,4.4,4.28,4.3
UFG,2025-02-19,4.3,4.38,4.23,4.28
UFG,2025-02-20,4.28,4.38,4.22,4.28
UFG,2025-02-21,4.22,4.39,4.15,4.39
UFG,2025-02-24,4.35,4.38,4.21,4.38
UFG,2025-02-25,4.27,4.47,4.26,4.26
UFG,2025-02-26,4.41,4.42,4.35,4.35
UFG,2025-02-27,4.22,4.22,4.2,4.22
UFG,2025-02-28,4.22,4.34,4.15,4.21
UFG,2025-03-03,4.3,4.3,4.15,4.3
UFG,2025-03-04,4.2,4.3,4.1,4.3
UFG,2025-03-05,4.102,4.33,4.1,4.16
UFG,2025-03-07,3.93,3.93,3.93,3.93
UFG,2025-03-10,4.0,4.14,3.5,3.82
UFG,2025-03-11,3.96,3.96,3.7,3.96
UFG,2025-03-12,3.97,4.24,3.68,4.06
UFG,2025-03-13,4.04,4.69,3.92,4.66
UFG,2025-03-14,4.6,5.34,4.35,4.78
UFG,2025-03-17,4.95,5.44,4.9,5.15
UFG,2025-03-18,5.15,5.2744,4.9001,5.0699
UFG,2025-03-19,5.02,5.24,5.0,5.19
UFG,2025-03-20,5.0719,5.4,4.98,5.21
UFG,2025-03-21,5.21,5.48,5.1692,5.43
UFG,2025-03-24,5.4,5.49,5.03,5.15
UFG,2025-03-25,5.18,5.56,5.18,5.55
UFG,2025-03-26,5.55,5.73,5.45,5.45
UFG,2025-03-27,5.49,5.71,5.36,5.5
UFG,2025-03-28,5.53,5.59,5.39,5.52
UFG,2025-03-31,5.5,5.6,5.2,5.49
UFG,2025-04-01,5.53,5.55,5.4,5.45
UFG,2025-04-02,5.45,5.67,5.3032,5.52
UFG,2025-04-03,5.46,5.59,5.4,5.42
UFG,2025-04-04,5.44,5.6,5.3,5.44
UFG,2025-04-07,5.5,5.8,5.4,5.4
UFG,2025-04-08,5.5,5.68,5.41,5.56
UFG,2025-04-09,5.58,5.73,5.47,5.54
UFG,2025-04-10,5.54,5.7,5.47,5.5
UFG,2025-04-11,5.53,5.865,5.48,5.79
UFG,2025-04-14,5.72,5.78,5.56,5.64
UFG,2025-04-15,5.8,5.9364,5.7,5.88
UFG,2025-04-16,5.85,6.0696,5.85,5.97
UFG,2025-04-17,6.0,6.13,5.15,5.31
UFG,2025-04-21,5.23,5.275,4.3412,4.62
UFG,2025-04-22,4.585,4.585,4.27,4.585
UFG,2025-04-23,4.65,4.87,4.24,4.69
UFG,2025-04-24,4.66,4.66,4.54,4.66
UFG,2025-04-25,4.82,4.82,4.52,4.74
UFG,2025-04-28,4.62,4.96,4.36,4.645
UFG,2025-04-29,4.56,4.56,4.49,4.56
UFG,2025-04-30,4.33,4.33,4.27,4.33
UFG,2025-05-01,4.3,4.5,4.2052,4.35
UFG,2025-05-02,4.39,4.5,4.04,4.05
UFG,2025-05-05,3.93,4.4,3.88,3.95
UFG,2025-05-06,3.92,4.28,3.6,4.05
UFG,2025-05-07,3.95,4.66,3.95,4.54
UFG,2025-05-08,4.57,5.06,4.57,4.85
UFG,2025-05-09,4.86,5.0,4.63,4.91
UFG,2025-05-12,4.875,5.45,4.875,5.2
UFG,2025-05-13,5.1,5.35,5.065,5.17
UFG,2025-05-14,5.29,5.35,5.05,5.33
UFG,2025-05-15,5.37,5.3798,5.07,5.24
UFG,2025-05-16,5.08,5.29,5.08,5.19
UFG,2025-05-19,5.2,5.23,5.025,5.18
UFG,2025-05-20,5.15,5.16,3.8,4.14
UFG,2025-05-21,4.28,4.3772,3.89,3.9
UFG,2025-05-22,3.76,3.8608,1.15,2.06
UFG,2025-05-23,2.06,2.06,1.9,1.96
UFG,2025-05-27,1.98,2.16,1.94,2.08
UFG,2025-05-28,2.12,2.12,1.9547,2.0
UFG,2025-05-29,2.1,2.1,1.96,1.98
UFG,2025-05-30,1.97,2.06,1.9,2.04
UFG,2025-06-02,2.07,2.5,2.055,2.08
UFG,2025-06-03,2.01,2.55,2.01,2.49
UFG,2025-06-04,2.53,2.74,2.28,2.62
UFG,2025-06-05,2.59,2.675,2.4453,2.55
UFG,2025-06-06,2.59,2.785,2.57,2.71
UFG,2025-06-09,2.71,2.71,2.4453,2.64
UFG,2025-06-10,2.69,2.69,2.38,2.38
UFG,2025-06-11,2.37,2.557,2.19,2.27
