ticker,date,open,high,low,close
VNCE,2013-11-22,295.0,304.8,271.3,286.6
VNCE,2013-11-25,284.8,284.9,275.0,277.5
VNCE,2013-11-26,273.6,291.2,273.6,290.0
VNCE,2013-11-27,294.0,301.7,290.0,297.0
VNCE,2013-11-29,300.0,300.0,292.5,292.7
VNCE,2013-12-02,294.0,296.5,287.1,291.8
VNCE,2013-12-03,292.5,296.8,288.4,293.4
VNCE,2013-12-04,293.1,296.9,291.0,291.5
VNCE,2013-12-05,292.5,296.5,292.3,293.8
VNCE,2013-12-06,290.8,297.5,288.9,291.0
VNCE,2013-12-09,292.5,308.1,292.0,304.2
VNCE,2013-12-10,301.0,316.0,300.1,309.8
VNCE,2013-12-11,311.5,321.6,310.1,315.5
VNCE,2013-12-12,319.0,321.9,310.4,311.6
VNCE,2013-12-13,309.8,320.0,309.8,318.4
VNCE,2013-12-16,327.6,327.6,314.6,316.7
VNCE,2013-12-17,311.5,313.7,300.6,308.0
VNCE,2013-12-18,310.0,315.0,302.6,304.4
VNCE,2013-12-19,303.4,312.2,296.7,300.0
VNCE,2013-12-20,300.0,305.4,295.1,305.4
VNCE,2013-12-23,304.0,309.8,287.6,299.8
VNCE,2013-12-24,299.3,299.3,289.5,293.2
VNCE,2013-12-26,293.5,294.9,290.7,293.7
VNCE,2013-12-27,293.2,296.5,290.7,294.0
VNCE,2013-12-30,293.4,304.9,291.6,301.7
VNCE,2013-12-31,301.2,307.0,299.0,306.7
VNCE,2014-01-02,306.3,307.7,295.7,299.5
VNCE,2014-01-03,300.0,300.0,289.2,293.2
VNCE,2014-01-06,295.2,295.7,277.2,279.5
VNCE,2014-01-07,279.6,281.3,268.8,272.1
VNCE,2014-01-08,270.7,272.5,267.7,270.4
VNCE,2014-01-09,270.4,270.5,258.0,258.9
VNCE,2014-01-10,256.9,266.5,252.8,266.1
VNCE,2014-01-13,264.7,264.7,255.5,257.6
VNCE,2014-01-14,258.4,268.7,257.2,262.1
VNCE,2014-01-15,262.0,262.8,228.4,254.4
VNCE,2014-01-16,255.0,255.0,240.3,242.4
VNCE,2014-01-17,244.0,259.7,243.5,248.7
VNCE,2014-01-21,248.9,248.9,237.4,239.6
VNCE,2014-01-22,239.2,244.2,238.8,242.5
VNCE,2014-01-23,242.0,249.9,242.0,244.2
VNCE,2014-01-24,243.0,247.2,239.6,240.3
VNCE,2014-01-27,240.0,242.7,238.0,241.4
VNCE,2014-01-28,241.6,247.0,241.6,243.0
VNCE,2014-01-29,242.0,242.6,235.3,235.6
VNCE,2014-01-30,236.9,239.0,230.4,237.1
VNCE,2014-01-31,233.1,235.5,232.5,233.6
VNCE,2014-02-03,234.0,238.5,225.3,235.9
VNCE,2014-02-04,240.0,243.3,231.4,232.2
