ticker,date,open,high,low,close
VSNT,2026-01-06,40.41,40.5,35.93,36.26
VSNT,2026-01-07,35.46,35.84,33.0,33.29
VSNT,2026-01-08,33.25,35.0,31.92,33.69
VSNT,2026-01-09,33.9,35.16,33.34,34.41
VSNT,2026-01-12,34.02,35.0,33.56,33.91
VSNT,2026-01-13,33.97,35.31,33.615,34.11
VSNT,2026-01-14,33.68,34.4,33.0,33.0
VSNT,2026-01-15,33.05,33.28,32.195,32.65
VSNT,2026-01-16,32.645,33.78,32.36,33.04
VSNT,2026-01-20,33.04,33.39,32.31,32.65
VSNT,2026-01-21,32.62,33.08,31.91,32.52
VSNT,2026-01-22,32.74,33.25,31.17,31.35
VSNT,2026-01-23,31.32,31.89,30.63,31.62
VSNT,2026-01-26,31.78,33.17,31.62,33.09
VSNT,2026-01-27,32.55,33.58,32.0,33.17
VSNT,2026-01-28,33.19,34.58,33.19,33.59
VSNT,2026-01-29,33.59,33.78,32.02,32.85
VSNT,2026-01-30,32.45,32.64,31.88,32.58
VSNT,2026-02-02,32.37,33.0299,31.82,32.47
