ticker,date,open,high,low,close
WFF,2025-03-27,3.97,4.0,3.65,3.75
WFF,2025-03-28,3.42,5.52,3.4,3.79
WFF,2025-03-31,3.7193,4.06,3.66,4.045
WFF,2025-04-01,4.0,4.0,3.46,3.4647
WFF,2025-04-02,3.31,3.4705,3.31,3.38
WFF,2025-04-03,3.2,3.59,3.2,3.255
WFF,2025-04-04,3.3,3.45,3.3,3.39
WFF,2025-04-07,3.31,3.56,3.31,3.4
WFF,2025-04-08,3.4287,3.6,3.42,3.56
WFF,2025-04-09,3.3403,3.53,3.3302,3.53
WFF,2025-04-10,3.4675,3.5,3.4,3.46
WFF,2025-04-11,3.55,3.59,3.3179,3.3213
WFF,2025-04-14,3.2555,3.7,3.2555,3.6107
WFF,2025-04-15,3.519,3.9,3.5,3.76
WFF,2025-04-16,3.8999,4.2,3.8999,3.9
WFF,2025-04-17,3.9,3.9,3.9,3.9
WFF,2025-04-21,3.7,3.8907,3.66,3.8
WFF,2025-04-22,3.66,3.94,3.63,3.785
WFF,2025-04-23,3.7,3.89,3.51,3.71
WFF,2025-04-24,3.65,3.71,3.65,3.67
WFF,2025-04-25,3.6,3.6899,3.55,3.55
WFF,2025-04-28,3.71,3.8988,3.71,3.82
WFF,2025-04-29,3.71,3.71,3.65,3.65
WFF,2025-04-30,3.7,3.7,3.53,3.6
WFF,2025-05-01,3.65,3.7,3.65,3.65
WFF,2025-05-02,3.74,3.83,3.69,3.69
WFF,2025-05-05,3.68,3.68,3.6699,3.68
WFF,2025-05-06,3.49,3.6758,3.45,3.6758
WFF,2025-05-07,3.82,4.28,3.8,4.25
WFF,2025-05-08,4.2338,4.25,4.0,4.0
WFF,2025-05-09,3.9998,4.24,3.9917,4.0634
WFF,2025-05-12,4.1,4.28,4.0023,4.26
WFF,2025-05-13,4.23,4.2477,4.0,4.2477
WFF,2025-05-14,4.1417,4.1417,4.1213,4.1417
WFF,2025-05-15,4.2799,4.28,4.2602,4.2602
WFF,2025-05-16,4.2799,4.9,4.23,4.775
WFF,2025-05-19,4.7698,4.95,4.3,4.3
WFF,2025-05-20,4.64,5.9198,4.64,5.6
WFF,2025-05-21,5.55,5.55,4.73,4.73
WFF,2025-05-22,4.97,5.18,4.97,4.99
WFF,2025-05-23,4.95,4.95,4.8216,4.95
WFF,2025-05-27,4.9,5.33,4.9,4.9
WFF,2025-05-28,5.05,5.1,4.33,4.79
WFF,2025-05-29,4.9725,5.14,4.8287,5.14
WFF,2025-05-30,4.8749,5.24,4.8749,5.0489
WFF,2025-06-02,5.0738,5.63,5.0,5.55
WFF,2025-06-03,5.3968,5.73,5.3184,5.7299
WFF,2025-06-04,5.73,5.93,5.54,5.54
WFF,2025-06-05,5.89,5.98,5.4,5.56
WFF,2025-06-06,5.7389,5.87,5.5782,5.81
WFF,2025-06-09,5.9,6.45,5.895,6.45
WFF,2025-06-10,6.37,6.4413,6.23,6.23
WFF,2025-06-11,5.9,6.8716,5.9,6.65
WFF,2025-06-12,6.6128,6.81,6.39,6.81
WFF,2025-06-13,6.71,6.8015,6.22,6.25
WFF,2025-06-16,6.42,6.42,5.85,5.85
WFF,2025-06-17,5.67,6.19,5.67,6.19
WFF,2025-06-18,6.25,6.66,5.87,6.16
WFF,2025-06-20,6.3897,7.04,6.1,7.04
WFF,2025-06-23,11.53,12.1,5.875,6.51
WFF,2025-06-24,7.948,16.84,4.56,6.05
WFF,2025-06-25,6.0,6.15,5.11,5.76
WFF,2025-06-26,5.78,6.6975,5.61,6.64
WFF,2025-06-27,6.81,29.26,3.26,3.26
WFF,2025-06-30,3.8,4.12,1.919,2.33
WFF,2025-07-01,2.23,2.2978,1.61,2.07
WFF,2025-07-02,1.96,2.3,1.72,2.02
WFF,2025-07-03,1.9,2.2,1.9,2.0
WFF,2025-07-07,2.08,2.08,1.604,1.75
WFF,2025-07-08,1.66,1.72,1.6,1.69
WFF,2025-07-09,1.67,1.675,1.15,1.33
WFF,2025-07-10,1.34,1.38,1.2562,1.35
WFF,2025-07-11,1.26,1.58,1.26,1.4
WFF,2025-07-14,1.31,1.43,1.24,1.27
WFF,2025-07-15,1.28,1.29,1.21,1.21
WFF,2025-07-16,1.2,1.2,1.13,1.15
WFF,2025-07-17,1.18,1.27,1.15,1.17
WFF,2025-07-18,1.2,1.2099,1.1,1.14
WFF,2025-07-21,1.1,1.18,1.1,1.18
WFF,2025-07-22,1.15,1.35,1.12,1.26
WFF,2025-07-23,1.26,1.27,1.18,1.24
WFF,2025-07-24,1.22,1.25,1.18,1.2
WFF,2025-07-25,1.16,1.19,1.08,1.13
WFF,2025-07-28,1.13,1.1449,1.12,1.13
WFF,2025-07-29,1.13,1.15,1.06,1.065
WFF,2025-07-30,1.05,1.07,1.0,1.0
WFF,2025-07-31,1.05,1.05,0.87,0.91
WFF,2025-08-01,0.83,0.8894,0.8135,0.8135
WFF,2025-08-04,0.8071,0.8907,0.8071,0.8439
WFF,2025-08-05,0.847,0.95,0.847,0.94
WFF,2025-08-06,0.92,1.31,0.92,0.9503
WFF,2025-08-07,0.9503,1.23,0.95,0.99
WFF,2025-08-08,1.0,1.03,0.95,0.9868
WFF,2025-08-11,0.9572,1.04,0.925,0.9321
WFF,2025-08-12,0.93,0.998999,0.9,0.96
WFF,2025-08-13,0.9,1.02,0.9,1.0
WFF,2025-08-14,0.97,1.0,0.97,0.9857
WFF,2025-08-15,0.96,1.0,0.95,0.97
WFF,2025-08-18,0.9702,0.99,0.936,0.9521
WFF,2025-08-19,0.9321,0.985,0.9321,0.9544
WFF,2025-08-20,0.9358,0.9544,0.904,0.95
WFF,2025-08-21,0.9,0.9695,0.9,0.9669
WFF,2025-08-22,0.8654,1.04,0.8654,0.9599
WFF,2025-08-25,1.01,1.05,0.97,1.01
WFF,2025-08-26,1.01,1.04,0.9698,1.0
WFF,2025-08-27,1.01,1.02,0.94,0.95
WFF,2025-08-28,0.9499,0.9499,0.9301,0.9499
WFF,2025-08-29,0.9499,0.9499,0.885,0.8901
WFF,2025-09-02,0.8542,0.974,0.852,0.974
WFF,2025-09-03,0.9448,0.9786,0.92495,0.9644
WFF,2025-09-04,0.919,0.9697,0.919,0.9499
WFF,2025-09-05,0.8897,0.96,0.8613,0.9
WFF,2025-09-08,0.8596,0.9498,0.855,0.8924
WFF,2025-09-09,0.9118,0.93,0.8703,0.92
WFF,2025-09-10,0.9132,0.95,0.89,0.946
WFF,2025-09-11,1.05,1.26,1.01,1.15
WFF,2025-09-12,1.1,1.11,0.9998,1.035
WFF,2025-09-15,0.9699,0.97,0.88,0.933
WFF,2025-09-16,0.9,0.99,0.87,0.903
WFF,2025-09-17,0.903,0.9435,0.8952,0.9147
WFF,2025-09-18,0.8979,0.955,0.895051,0.9088
WFF,2025-09-19,0.895,0.915,0.89,0.9095
WFF,2025-09-22,0.9,0.92,0.88,0.8905
WFF,2025-09-23,0.92,0.92,0.833,0.886
WFF,2025-09-24,0.886,0.903,0.861,0.8795
WFF,2025-09-25,0.851,0.95,0.851,0.882
WFF,2025-09-26,0.8801,0.8861,0.835499,0.8614
WFF,2025-09-29,0.8614,0.8996,0.835,0.87
WFF,2025-09-30,0.87,0.8891,0.8499,0.889
WFF,2025-10-01,0.889,1.0599,0.87,0.96
WFF,2025-10-02,0.92,0.9799,0.915,0.9452
WFF,2025-10-03,0.99,1.02,0.95,0.9875
WFF,2025-10-06,0.9579,0.997,0.94,0.977949
WFF,2025-10-07,0.965,0.978,0.9503,0.9609
WFF,2025-10-08,0.9975,0.9975,0.9256,0.9526
WFF,2025-10-09,0.9698,0.99,0.9538,0.961
WFF,2025-10-10,0.933,0.9682,0.89,0.8922
WFF,2025-10-13,0.8703,0.895,0.8001,0.87
WFF,2025-10-14,0.83,0.8995,0.83,0.8411
WFF,2025-10-15,0.83,0.9,0.83,0.89
WFF,2025-10-16,0.869999,0.8811,0.85,0.8562
WFF,2025-10-17,0.85,0.88,0.75,0.8324
WFF,2025-10-20,0.8454,0.8454,0.81,0.8412
WFF,2025-10-21,0.83,0.83,0.7586,0.776
WFF,2025-10-22,0.78,0.799,0.75,0.759
WFF,2025-10-23,0.759,0.780001,0.7501,0.778199
WFF,2025-10-24,0.7805,0.82,0.78001,0.82
WFF,2025-10-27,0.811,0.84,0.811,0.8399
WFF,2025-10-28,0.832,0.8359,0.7901,0.7901
WFF,2025-10-29,0.8494,0.8494,0.7901,0.81
WFF,2025-10-30,0.7851,0.81,0.75,0.75
WFF,2025-10-31,0.7275,0.8,0.7275,0.7531
WFF,2025-11-03,0.77,0.77,0.7235,0.7275
WFF,2025-11-04,0.71,0.74,0.65,0.6525
WFF,2025-11-05,0.6329,0.685,0.56,0.6753
WFF,2025-11-06,0.6503,0.6503,0.6287,0.6401
WFF,2025-11-07,0.6297,0.64,0.582,0.620101
WFF,2025-11-10,0.6201,0.7,0.5951,0.6251
WFF,2025-11-11,0.59,0.6061,0.5798,0.5907
WFF,2025-11-12,0.596,0.62,0.56,0.5631
WFF,2025-11-13,0.5795,0.5884,0.4506,0.539
WFF,2025-11-14,0.5228,0.659999,0.5228,0.5519
WFF,2025-11-17,0.5451,0.5956,0.54,0.5842
WFF,2025-11-18,0.5586,0.585,0.54,0.579
WFF,2025-11-19,0.5749,0.62,0.5526,0.5829
WFF,2025-11-20,0.5829,0.599,0.5251,0.5429
WFF,2025-11-21,0.543,0.61,0.52,0.55
WFF,2025-11-24,0.5612,0.66,0.5612,0.61
WFF,2025-11-25,0.6201,0.6599,0.6,0.6
WFF,2025-11-26,0.61,0.639,0.5849,0.6096
WFF,2025-11-28,0.608,0.65,0.54,0.613
WFF,2025-12-01,0.613,0.613,0.5733,0.586
WFF,2025-12-02,0.6,0.6,0.559901,0.586
WFF,2025-12-03,0.53,0.5534,0.520001,0.5357
WFF,2025-12-04,0.53,0.559899,0.52,0.546499
WFF,2025-12-05,0.532,0.5437,0.5259,0.5318
WFF,2025-12-08,0.55,0.5714,0.517451,0.55
WFF,2025-12-09,0.59,0.59,0.5585,0.558747
WFF,2025-12-10,0.5587,0.5899,0.5001,0.5214
WFF,2025-12-11,0.5292,0.5512,0.515,0.5225
