ticker,date,open,high,low,close
WLTH,2021-09-13,9.81215,9.81215,9.76239,9.77334
WLTH,2021-09-14,9.76239,9.77234,9.74248,9.74248
WLTH,2021-09-15,9.75244,9.78528,9.74248,9.78528
WLTH,2021-09-16,9.72258,9.76239,9.72258,9.74746
WLTH,2021-09-17,9.67381,9.67978,9.67381,9.67978
WLTH,2021-09-20,9.56135,9.56135,9.56135,9.56135
WLTH,2021-09-21,9.57528,9.58424,9.57528,9.58424
WLTH,2021-09-22,9.64694,9.64694,9.64694,9.64694
WLTH,2021-09-23,9.71263,9.71263,9.70267,9.70267
WLTH,2021-09-24,9.66684,9.66684,9.66684,9.66684
WLTH,2021-09-27,9.67182,9.67182,9.67182,9.67182
WLTH,2021-09-28,9.56533,9.56533,9.52552,9.53248
WLTH,2021-09-29,9.56533,9.56533,9.52254,9.52254
WLTH,2021-09-30,9.49169,9.49169,9.49169,9.49169
WLTH,2021-10-01,9.55936,9.55936,9.55936,9.55936
WLTH,2021-10-04,9.50561,9.50561,9.49765,9.49765
WLTH,2021-10-05,9.52552,9.56533,9.52552,9.54044
WLTH,2021-10-06,9.49665,9.53548,9.47675,9.53448
WLTH,2021-10-07,9.62505,9.62505,9.59817,9.59817
WLTH,2021-10-08,9.59319,9.59319,9.58026,9.58026
WLTH,2021-10-11,9.61509,9.61509,9.5504,9.5504
WLTH,2021-10-12,9.57528,9.57528,9.5713,9.5713
WLTH,2021-10-13,9.59519,9.64396,9.59519,9.64396
WLTH,2021-10-14,9.71761,9.73353,9.71761,9.73353
WLTH,2021-10-15,9.76239,9.76239,9.76239,9.76239
WLTH,2021-10-18,9.75542,9.75542,9.75542,9.75542
WLTH,2021-10-19,9.8022,9.8022,9.77732,9.78628
WLTH,2021-10-20,9.79224,9.81813,9.79224,9.81813
WLTH,2021-10-21,9.80817,9.80817,9.80817,9.80817
WLTH,2021-10-22,9.82211,9.82211,9.82211,9.82211
WLTH,2021-10-25,9.86092,9.86092,9.84201,9.84201
WLTH,2021-10-26,9.86092,9.86092,9.84599,9.84599
WLTH,2021-10-27,9.85097,9.86092,9.81016,9.81016
WLTH,2021-10-28,9.84101,9.84101,9.83205,9.83703
WLTH,2021-10-29,9.80717,9.81016,9.80717,9.81016
WLTH,2021-11-01,9.83205,9.84101,9.82211,9.84001
WLTH,2021-11-02,9.84101,9.86092,9.84101,9.85097
WLTH,2021-11-03,9.85395,9.90073,9.85097,9.90073
WLTH,2021-11-04,9.93059,9.94053,9.91068,9.91068
WLTH,2021-11-05,9.96045,9.9704,9.96045,9.96542
WLTH,2021-11-08,9.99327,9.99327,9.99028,9.99028
WLTH,2021-11-09,10.0192,10.0192,9.99926,9.99926
WLTH,2021-11-10,10.0092,10.0092,9.92063,9.92063
WLTH,2021-11-11,9.9704,9.9704,9.96045,9.96045
WLTH,2021-11-12,9.98031,9.99926,9.98031,9.99028
WLTH,2021-11-15,9.99926,9.99926,9.97642,9.97642
WLTH,2021-11-16,9.99028,9.99926,9.97542,9.97542
WLTH,2021-11-17,9.94053,9.96045,9.94053,9.95447
WLTH,2021-11-18,9.96045,9.96045,9.91068,9.93955
WLTH,2021-11-19,9.94053,9.94053,9.90372,9.90372
WLTH,2021-11-22,9.91168,9.91168,9.85196,9.85196
WLTH,2021-11-23,9.84201,9.84201,9.83205,9.83703
WLTH,2021-11-24,9.7823,9.84101,9.7823,9.84101
WLTH,2021-11-26,9.71263,9.71263,9.67282,9.67978
WLTH,2021-11-29,9.76239,9.76239,9.70267,9.72457
WLTH,2021-11-30,9.70267,9.70267,9.60813,9.60813
WLTH,2021-12-01,9.71263,9.71263,9.54144,9.54144
WLTH,2021-12-02,9.60514,9.6539,9.60514,9.63301
