ticker,date,open,high,low,close
WSHP,2025-11-14,20.02,39.22,20.02,34.02
WSHP,2025-11-17,51.0,59.999,33.61,39.51
WSHP,2025-11-18,39.5,40.0,29.0,33.0
WSHP,2025-11-19,38.0,250.0,38.0,237.41
WSHP,2025-11-20,132.99,200.0,122.39,153.46
WSHP,2025-11-21,152.49,152.49,90.0,113.4
WSHP,2025-11-24,109.975,130.0,98.98,130.0
WSHP,2025-11-25,163.0,225.0,150.06,150.06
WSHP,2025-11-26,173.0,179.9999,133.6,155.15
WSHP,2025-11-28,130.0001,154.61,130.0001,140.7
WSHP,2025-12-01,140.0,140.0,125.1,125.1
WSHP,2025-12-02,128.23,155.0,121.05,146.0
WSHP,2025-12-03,174.52,174.52,131.2444,145.0
WSHP,2025-12-04,136.7,136.7,134.0,134.6
WSHP,2025-12-05,119.55,133.15,119.55,126.61
WSHP,2025-12-08,115.0001,120.06,115.0,120.0
WSHP,2025-12-09,99.0,99.0,95.21,95.21
WSHP,2025-12-10,93.92,93.92,93.92,93.92
WSHP,2025-12-11,93.62,94.02,93.62,94.02
WSHP,2025-12-12,112.1,142.04,112.1,116.0
WSHP,2025-12-15,116.17,129.0,113.5,120.01
WSHP,2025-12-16,128.0,139.88,123.525,125.0
WSHP,2025-12-17,116.0,119.0,107.88,118.11
WSHP,2025-12-18,115.91,115.91,115.91,115.91
WSHP,2025-12-19,116.85,125.0,115.16,115.16
WSHP,2025-12-22,126.26,126.26,106.0,106.0
WSHP,2025-12-23,110.0,112.5,101.25,101.25
WSHP,2025-12-24,104.5,110.05,102.2,110.0
WSHP,2025-12-26,117.95,117.95,110.0,111.85
WSHP,2025-12-29,109.5,112.0,105.0,106.8
WSHP,2025-12-30,110.0,110.0,93.25,95.25
WSHP,2025-12-31,100.0,100.0,93.25,95.0
WSHP,2026-01-02,98.0,100.0,97.8,100.0
WSHP,2026-01-05,96.5,97.59,96.5,97.59
WSHP,2026-01-06,93.0,93.0,87.02,87.02
WSHP,2026-01-07,87.0,90.0,82.64,82.64
WSHP,2026-01-08,87.0,87.0,82.0,82.0
WSHP,2026-01-09,79.99,79.99,65.0,65.0
WSHP,2026-01-12,66.5,66.5,57.3,57.3
WSHP,2026-01-13,55.1859,55.69,53.9,55.69
WSHP,2026-01-14,59.39,117.73,59.39,75.66
WSHP,2026-01-15,78.28,79.1,62.215,72.0
WSHP,2026-01-16,76.23,76.23,67.17,67.17
WSHP,2026-01-20,58.13,71.0,58.13,71.0
WSHP,2026-01-21,63.24,72.0,63.24,72.0
WSHP,2026-01-22,70.12,70.12,64.31,64.31
WSHP,2026-01-23,68.5,68.64,66.37,66.37
WSHP,2026-01-26,63.61,78.0,63.61,75.0
WSHP,2026-01-27,76.01,76.01,73.95,75.0
WSHP,2026-01-28,71.01,78.0,69.84,70.0
WSHP,2026-01-29,69.4,73.99,65.0,65.0
WSHP,2026-01-30,72.99,75.99,60.0,60.85
WSHP,2026-02-02,61.39,66.4,57.0,57.0
