ticker,date,open,high,low,close
WTF,2025-04-01,4.29,19.85,4.05,19.85
WTF,2025-04-02,15.01,18.05,6.3,7.03
WTF,2025-04-03,6.15,7.76,5.58,5.72
WTF,2025-04-04,6.02,7.2,5.8,6.388
WTF,2025-04-07,6.235,6.701,5.8,6.6584
WTF,2025-04-08,6.3,7.0,5.39,5.85
WTF,2025-04-09,5.7601,6.75,5.5,6.5
WTF,2025-04-10,6.0801,6.0801,5.54,6.0801
WTF,2025-04-11,5.88,6.7,5.65,6.32
WTF,2025-04-14,6.31,8.69,6.2,7.34
WTF,2025-04-15,7.175,7.56,7.175,7.19
WTF,2025-04-16,7.4,7.4,6.32,6.49
WTF,2025-04-17,6.76,6.82,6.45,6.48
WTF,2025-04-21,6.8,7.7873,6.6,7.04
WTF,2025-04-22,7.2,8.2658,7.1001,7.55
WTF,2025-04-23,7.71,9.0998,7.71,8.13
WTF,2025-04-24,8.17,8.6199,7.2,7.6
WTF,2025-04-25,7.52,7.75,7.12,7.39
WTF,2025-04-28,7.3,7.3999,6.66,6.86
WTF,2025-04-29,6.82,7.25,6.3316,6.41
WTF,2025-04-30,6.69,6.69,6.3,6.3
WTF,2025-05-01,6.37,6.7,6.26,6.43
WTF,2025-05-02,6.4,6.5,5.97,6.32
WTF,2025-05-05,6.34,6.35,6.1319,6.17
WTF,2025-05-06,6.07,6.258,5.7,5.81
WTF,2025-05-07,6.198,6.58,6.12,6.12
WTF,2025-05-08,6.01,6.84,5.65,6.54
WTF,2025-05-09,7.08,7.46,7.08,7.2
WTF,2025-05-12,7.44,8.1,7.4,7.63
WTF,2025-05-13,7.12,7.4,6.99,7.19
WTF,2025-05-14,7.1,7.2499,6.74,6.85
WTF,2025-05-15,6.78,6.9036,6.74,6.74
WTF,2025-05-16,6.62,6.94,6.502,6.83
WTF,2025-05-19,6.83,7.04,6.59,6.63
WTF,2025-05-20,6.32,7.0395,6.32,6.88
WTF,2025-05-21,6.74,6.74,6.01,6.02
WTF,2025-05-22,6.08,6.89,6.08,6.74
WTF,2025-05-23,6.51,6.51,6.51,6.51
WTF,2025-05-27,6.5,6.7465,6.5,6.61
WTF,2025-05-28,6.545,6.6499,6.42,6.64
WTF,2025-05-29,6.457,6.72,6.4,6.67
WTF,2025-05-30,6.5383,6.63,6.45,6.6
WTF,2025-06-02,6.49,6.66,6.31,6.48
WTF,2025-06-03,6.31,6.449,6.04,6.44
WTF,2025-06-04,6.5,6.52,6.2,6.43
WTF,2025-06-05,6.34,6.41,6.07,6.25
WTF,2025-06-06,6.11,6.25,6.11,6.22
WTF,2025-06-09,6.08,6.22,6.08,6.19
WTF,2025-06-10,6.1,6.1919,5.9502,6.06
WTF,2025-06-11,6.0,6.0,5.8,5.9
WTF,2025-06-12,5.94,5.94,5.5,5.58
WTF,2025-06-13,5.52,5.6989,5.28,5.3
WTF,2025-06-16,5.405,5.405,5.01,5.01
WTF,2025-06-17,5.0,7.4955,4.93,6.7
WTF,2025-06-18,6.92,7.18,6.11,6.17
WTF,2025-06-20,6.21,6.21,5.72,5.9
WTF,2025-06-23,5.8,5.9899,5.7,5.7
WTF,2025-06-24,5.8,6.4,5.8,5.89
WTF,2025-06-25,6.38,6.38,5.75,5.96
WTF,2025-06-26,5.88,6.18,5.88,6.05
WTF,2025-06-27,6.05,6.6,5.73,6.06
WTF,2025-06-30,6.2,6.39,5.85,5.86
WTF,2025-07-01,5.91,6.0,5.68,5.8
WTF,2025-07-02,5.8,5.8,5.44,5.57
WTF,2025-07-03,5.6405,5.7724,5.51,5.64
WTF,2025-07-07,5.83,6.3287,5.07,5.16
WTF,2025-07-08,5.67,5.81,5.31,5.49
WTF,2025-07-09,5.39,5.5,5.12,5.2
WTF,2025-07-10,5.23,5.36,5.1,5.23
WTF,2025-07-11,5.1,5.1,5.1,5.1
WTF,2025-07-14,5.1,5.2113,5.05,5.1
WTF,2025-07-15,5.09,5.14,4.8,4.9
WTF,2025-07-16,5.15,5.15,4.7,5.0
WTF,2025-07-17,4.92,4.9996,4.53,4.79
WTF,2025-07-18,4.65,4.79,4.2848,4.31
WTF,2025-07-21,4.42,4.59,4.3,4.4
WTF,2025-07-22,4.35,4.4,4.1101,4.27
WTF,2025-07-23,4.26,4.77,4.0605,4.77
WTF,2025-07-24,4.65,5.1012,4.5571,5.04
WTF,2025-07-25,5.04,5.04,4.56,4.56
WTF,2025-07-28,4.55,5.66,4.34,5.39
WTF,2025-07-29,5.4664,5.4664,4.881,4.9405
WTF,2025-07-30,4.87,4.98,4.25,4.56
WTF,2025-07-31,4.48,4.98,4.45,4.66
WTF,2025-08-01,4.9701,4.9701,4.43,4.58
WTF,2025-08-04,4.59,4.59,4.46,4.49
WTF,2025-08-05,4.5,4.78,4.28,4.66
WTF,2025-08-06,4.5909,4.885,4.37,4.65
WTF,2025-08-07,4.55,4.87,4.4507,4.55
WTF,2025-08-08,4.63,4.63,4.31,4.38
WTF,2025-08-11,4.38,4.43,4.16,4.25
WTF,2025-08-12,4.24,4.3998,4.14,4.26
WTF,2025-08-13,4.26,4.58,4.2,4.44
WTF,2025-08-14,4.6,4.6,4.31,4.35
WTF,2025-08-15,4.56,4.56,4.175,4.365
WTF,2025-08-18,4.445,4.85,4.265,4.7
WTF,2025-08-19,4.7,5.0116,4.55,4.69
WTF,2025-08-20,4.85,4.96,4.26,4.8521
WTF,2025-08-21,4.64,4.85,4.54,4.78
WTF,2025-08-22,4.77,4.93,4.54,4.8418
WTF,2025-08-25,4.83,4.89,4.64,4.75
WTF,2025-08-26,4.82,4.86,4.6536,4.81
WTF,2025-08-27,4.63,4.79,4.572,4.6
WTF,2025-08-28,4.65,4.9499,4.5,4.75
WTF,2025-08-29,4.73,4.9,4.6106,4.87
WTF,2025-09-02,4.77,4.77,4.2,4.33
WTF,2025-09-03,4.55,4.7,4.09,4.26
WTF,2025-09-04,4.3,4.45,4.05,4.33
WTF,2025-09-05,4.33,4.65,4.17,4.45
WTF,2025-09-08,4.45,5.25,4.45,5.15
WTF,2025-09-09,4.86,5.92,4.86,5.92
WTF,2025-09-10,5.95,5.95,5.62,5.81
WTF,2025-09-11,5.9,7.1,5.62,7.1
WTF,2025-09-12,6.7,6.96,6.4,6.9
WTF,2025-09-15,6.8,7.02,6.41,6.52
WTF,2025-09-16,6.43,6.55,5.9752,6.23
WTF,2025-09-17,6.12,6.4981,5.89,6.19
WTF,2025-09-18,6.5,6.8,5.7,6.72
WTF,2025-09-19,6.65,7.22,6.51,6.7672
WTF,2025-09-22,6.56,6.98,5.7601,6.4
WTF,2025-09-23,6.24,6.705,6.24,6.61
WTF,2025-09-24,6.2951,7.04,6.1983,6.67
WTF,2025-09-25,6.69,6.8,5.9031,6.0
WTF,2025-09-26,5.99,6.79,5.8741,6.5
WTF,2025-09-29,6.35,7.2,6.14,6.42
WTF,2025-09-30,6.24,6.69,5.98,6.27
WTF,2025-10-01,6.04,6.3825,6.04,6.22
WTF,2025-10-02,6.09,6.35,5.99,6.14
WTF,2025-10-03,6.1,6.35,5.902,6.07
WTF,2025-10-06,5.99,6.17,5.9,6.11
WTF,2025-10-07,6.0089,6.07,5.765,5.97
WTF,2025-10-08,5.96,6.0099,5.76,5.76
WTF,2025-10-09,5.85,5.94,5.67,5.94
WTF,2025-10-10,5.88,5.97,5.5101,5.53
WTF,2025-10-13,5.45,5.85,5.445,5.61
WTF,2025-10-14,5.71,6.19,5.62,5.86
WTF,2025-10-15,5.82,6.26,5.61,5.7999
WTF,2025-10-16,5.67,5.94,5.39,5.41
WTF,2025-10-17,5.45,5.51,5.2,5.36
WTF,2025-10-20,5.23,5.49,5.04,5.24
WTF,2025-10-21,5.29,5.45,4.98,5.4
WTF,2025-10-22,5.23,5.39,4.96,5.25
WTF,2025-10-23,5.4,5.5999,5.14,5.5
WTF,2025-10-24,5.31,5.52,4.925,5.01
WTF,2025-10-27,5.03,5.25,5.01,5.16
WTF,2025-10-28,5.15,5.18,4.8,5.08
