ticker,date,open,high,low,close
WXM,2025-04-01,4.2,7.99,4.0,4.29
WXM,2025-04-02,3.86,4.1942,2.276,2.86
WXM,2025-04-03,2.6,2.74,2.03,2.08
WXM,2025-04-04,2.0,2.04,1.86,1.86
WXM,2025-04-07,1.78,1.78,1.78,1.78
WXM,2025-04-08,1.6,1.6,1.54,1.6
WXM,2025-04-09,1.62,2.62,1.5202,2.12
WXM,2025-04-10,1.9539,1.9539,1.74,1.88
WXM,2025-04-11,1.83,1.859,1.7075,1.78
WXM,2025-04-14,1.92,2.5996,1.7101,2.48
WXM,2025-04-15,2.5,2.75,2.2,2.22
WXM,2025-04-16,2.0701,2.3966,2.07,2.17
WXM,2025-04-17,2.25,2.25,2.06,2.1
WXM,2025-04-21,2.07,2.07,1.7006,1.8
WXM,2025-04-22,1.85,2.03,1.8,1.98
WXM,2025-04-23,2.0004,2.14,2.0,2.0
WXM,2025-04-24,2.11,2.11,1.91,2.0
WXM,2025-04-25,1.89,1.955,1.89,1.92
WXM,2025-04-28,1.98,1.98,1.82,1.88
WXM,2025-04-29,1.9,1.961,1.8737,1.95
WXM,2025-04-30,1.905,2.48,1.74,1.8007
WXM,2025-05-01,1.83,1.95,1.75,1.78
WXM,2025-05-02,1.8,1.8,1.7,1.8
WXM,2025-05-05,1.8982,1.92,1.7942,1.84
WXM,2025-05-06,1.84,2.51,1.78,1.98
WXM,2025-05-07,1.84,2.25,1.84,1.99
WXM,2025-05-08,2.012,2.02,1.9,1.99
WXM,2025-05-09,2.0,2.05,1.94,1.94
WXM,2025-05-12,1.96,2.2599,1.8,2.03
WXM,2025-05-13,2.06,2.39,2.06,2.15
WXM,2025-05-14,2.1673,2.26,2.05,2.05
WXM,2025-05-15,2.07,2.15,1.85,1.955
WXM,2025-05-16,1.94,2.23,1.94,1.98
WXM,2025-05-19,1.93,2.01,1.9,1.93
WXM,2025-05-20,1.95,2.186,1.95,2.05
WXM,2025-05-21,1.99,2.21,1.8601,1.89
WXM,2025-05-22,1.9,1.95,1.88,1.88
WXM,2025-05-23,1.88,2.0686,1.88,1.96
WXM,2025-05-27,1.99,2.1,1.97,2.01
WXM,2025-05-28,1.99,2.04,1.96,1.98
WXM,2025-05-29,2.0,2.06,1.92,1.945
