ticker,date,open,high,low,close
WYFI,2025-08-07,25.0,25.13,15.82,16.22
WYFI,2025-08-08,15.11,16.0,14.01,15.3
WYFI,2025-08-11,15.25,16.99,14.7,14.77
WYFI,2025-08-12,14.74,15.6312,14.72,15.41
WYFI,2025-08-13,16.45,17.4599,16.03,17.32
WYFI,2025-08-14,16.23,18.015,16.23,17.84
WYFI,2025-08-15,17.3,17.65,16.04,17.09
WYFI,2025-08-18,17.0,19.06,17.0,18.69
WYFI,2025-08-19,18.42,18.42,16.56,17.02
WYFI,2025-08-20,16.7,16.9,15.8,16.72
WYFI,2025-08-21,16.46,16.71,16.0,16.71
WYFI,2025-08-22,16.5,17.52,16.2501,17.09
WYFI,2025-08-25,17.06,17.06,16.36,16.56
WYFI,2025-08-26,16.41,16.96,16.2,16.68
WYFI,2025-08-27,16.51,17.09,16.51,16.9
WYFI,2025-08-28,16.97,17.45,16.59,17.01
WYFI,2025-08-29,16.85,16.99,16.4,16.91
WYFI,2025-09-02,17.01,18.3,17.0,17.91
WYFI,2025-09-03,18.0,18.27,16.5,16.66
WYFI,2025-09-04,16.71,16.905,16.09,16.26
WYFI,2025-09-05,16.39,16.7,15.92,16.34
WYFI,2025-09-08,16.55,16.81,15.97,16.0
WYFI,2025-09-09,17.6,18.96,17.1,18.39
WYFI,2025-09-10,19.28,24.4999,19.05,23.58
WYFI,2025-09-11,23.1,23.3999,20.31,20.57
WYFI,2025-09-12,21.06,21.06,18.37,19.95
WYFI,2025-09-15,19.74,20.95,19.0301,19.99
WYFI,2025-09-16,20.34,20.815,19.22,19.28
WYFI,2025-09-17,19.4,21.49,19.28,20.75
WYFI,2025-09-18,21.6,24.18,21.6,23.45
WYFI,2025-09-19,24.55,28.3,24.43,26.3
WYFI,2025-09-22,29.0,29.021,26.19,28.02
WYFI,2025-09-23,28.03,29.53,26.05,28.07
WYFI,2025-09-24,27.42,28.11,25.46,26.25
WYFI,2025-09-25,24.85,25.25,23.06,23.59
WYFI,2025-09-26,24.31,24.6912,22.2,22.83
WYFI,2025-09-29,23.58,27.48,23.14,26.74
WYFI,2025-09-30,27.01,28.75,25.87,27.17
WYFI,2025-10-01,27.12,32.36,26.28,31.99
WYFI,2025-10-02,32.67,34.04,30.52,33.68
WYFI,2025-10-03,33.92,34.4,30.56,31.2
WYFI,2025-10-06,32.67,36.1,32.3,33.93
WYFI,2025-10-07,34.61,35.48,32.31,33.63
WYFI,2025-10-08,33.89,35.95,32.68,34.29
WYFI,2025-10-09,34.0,34.19,32.74,33.74
WYFI,2025-10-10,34.4,38.655,32.84,33.03
WYFI,2025-10-13,35.0,40.75,35.0,39.13
WYFI,2025-10-14,37.92,39.09,35.0,37.64
WYFI,2025-10-15,39.38,39.38,35.0,36.68
WYFI,2025-10-16,37.0,37.92,31.33,31.44
WYFI,2025-10-17,31.2,31.41,29.3306,30.27
WYFI,2025-10-20,30.99,32.39,28.51,32.0
WYFI,2025-10-21,31.0,31.7425,28.73,29.84
WYFI,2025-10-22,29.12,29.55,25.85,27.76
WYFI,2025-10-23,27.77,29.55,27.51,28.985
WYFI,2025-10-24,30.4,35.145,29.5,34.04
WYFI,2025-10-27,35.8,37.06,32.79,37.0
WYFI,2025-10-28,36.58,37.115,33.82,33.84
WYFI,2025-10-29,33.71,34.46,32.18,33.79
WYFI,2025-10-30,31.92,32.97,30.11,32.22
WYFI,2025-10-31,32.8,34.0,30.83,33.96
WYFI,2025-11-03,34.75,35.0,31.7168,32.61
WYFI,2025-11-04,31.16,32.5244,29.37,30.47
WYFI,2025-11-05,30.85,31.99,29.8101,30.66
WYFI,2025-11-06,31.57,31.57,27.67,28.05
