ticker,date,open,high,low,close
XWIN,2025-11-11,5.73,5.99,5.5,5.61
XWIN,2025-11-12,5.58,5.72,5.49,5.613
XWIN,2025-11-13,5.61,5.7,5.31,5.5
XWIN,2025-11-14,5.52,5.65,5.4,5.47
XWIN,2025-11-17,5.59,5.6,5.2,5.205
XWIN,2025-11-18,5.4,5.89,5.35,5.675
XWIN,2025-11-19,5.66,5.73,5.57,5.58
XWIN,2025-11-20,5.58,5.7,5.34,5.34
XWIN,2025-11-21,5.52,5.52,5.2621,5.37
XWIN,2025-11-24,5.42,5.58,5.32,5.57
XWIN,2025-11-25,5.46,5.5,5.2,5.45
XWIN,2025-11-26,5.45,5.54,5.365,5.46
XWIN,2025-11-28,5.51,5.58,5.46,5.53
XWIN,2025-12-01,5.48,5.49,5.28,5.41
XWIN,2025-12-02,5.41,5.63,5.41,5.47
XWIN,2025-12-03,5.47,5.64,5.42,5.49
XWIN,2025-12-04,5.47,5.63,5.46,5.51
XWIN,2025-12-05,5.5,5.66,5.37,5.54
XWIN,2025-12-08,5.5,5.72,5.41,5.68
XWIN,2025-12-09,5.8,6.18,5.52,6.14
XWIN,2025-12-10,6.03,6.23,5.85,5.99
XWIN,2025-12-11,5.8,6.04,5.8,5.93
XWIN,2025-12-12,5.8,6.14,5.8,5.92
XWIN,2025-12-15,5.9,6.01,5.89,5.93
XWIN,2025-12-16,5.9,5.99,5.84,5.93
XWIN,2025-12-17,5.9,6.06,5.86,5.97
XWIN,2025-12-18,5.9,6.07,5.9,6.025
XWIN,2025-12-19,6.04,6.11,5.98,6.06
XWIN,2025-12-22,6.07,6.22,6.03,6.07
XWIN,2025-12-23,6.05,6.09,5.865,5.93
XWIN,2025-12-24,5.93,6.125,5.93,6.06
XWIN,2025-12-26,6.02,6.11,5.99,6.0
XWIN,2025-12-29,5.99,6.04,5.76,5.95
XWIN,2025-12-30,5.99,6.07,5.97,6.03
XWIN,2025-12-31,6.01,6.04,5.93,6.0
XWIN,2026-01-02,6.03,6.13,5.91,6.0
XWIN,2026-01-05,6.04,6.04,5.73,5.9
XWIN,2026-01-06,5.88,5.96,5.86,5.92
XWIN,2026-01-07,5.96,5.96,5.785,5.89
XWIN,2026-01-08,5.88,5.95,5.74,5.89
XWIN,2026-01-09,5.78,5.78,5.71,5.78
XWIN,2026-01-12,5.82,5.85,5.675,5.76
XWIN,2026-01-13,5.82,5.9,5.73,5.8
XWIN,2026-01-14,5.83,5.9,5.82,5.89
XWIN,2026-01-15,5.89,6.01,5.89,5.95
XWIN,2026-01-16,5.99,6.09,5.95,6.02
XWIN,2026-01-20,5.99,6.12,5.99,6.06
XWIN,2026-01-21,6.06,6.1,5.51,5.84
XWIN,2026-01-22,5.85,6.0594,5.78,5.8
XWIN,2026-01-23,5.92,5.965,5.755,5.92
XWIN,2026-01-26,5.92,5.97,5.78,5.92
XWIN,2026-01-27,5.92,6.0201,5.9,5.93
XWIN,2026-01-28,5.985,6.0,5.7503,5.77
XWIN,2026-01-29,5.84,5.86,5.65,5.78
XWIN,2026-01-30,5.77,5.8,5.65,5.65
XWIN,2026-02-02,5.7,5.91,5.55,5.9
