ticker,date,open,high,low,close
YDKG,2025-09-19,4.59,4.72,3.08,3.43
YDKG,2025-09-22,3.08,3.49,2.905,3.39
YDKG,2025-09-23,3.24,3.39,3.2,3.32
YDKG,2025-09-24,3.14,3.39,3.0,3.36
YDKG,2025-09-25,3.21,3.4895,3.21,3.35
YDKG,2025-09-26,3.28,3.62,3.2554,3.34
YDKG,2025-09-29,3.34,3.83,3.34,3.72
YDKG,2025-09-30,3.69,3.9,3.31,3.46
YDKG,2025-10-01,3.4,3.575,3.4,3.47
YDKG,2025-10-02,3.4,3.63,3.4,3.47
YDKG,2025-10-03,3.48,3.6064,3.395,3.4114
YDKG,2025-10-06,3.45,3.5755,3.3266,3.52
YDKG,2025-10-07,3.6,3.62,2.801,3.15
YDKG,2025-10-08,3.04,3.78,3.0001,3.59
YDKG,2025-10-09,3.52,3.57,3.22,3.28
YDKG,2025-10-10,3.33,3.41,2.25,2.49
YDKG,2025-10-13,2.41,2.41,1.7,1.7
YDKG,2025-10-14,1.68,2.11,1.23,1.39
YDKG,2025-10-15,1.0,1.0,0.18,0.1906
YDKG,2025-10-16,0.1687,0.174,0.0731,0.0958
YDKG,2025-10-17,0.0752,0.0841,0.047,0.057
YDKG,2025-10-20,0.05,0.052,0.04,0.0443
YDKG,2025-10-21,0.0595,0.0675,0.0506,0.0567
YDKG,2025-10-22,0.0655,0.0726,0.0562,0.068
YDKG,2025-10-23,0.0763,0.08869,0.06555,0.0718
YDKG,2025-10-24,0.065,0.0652,0.0523,0.061
YDKG,2025-10-27,0.0661,0.08019,0.0636,0.0651
YDKG,2025-10-28,0.0638,0.065,0.0566,0.0586
YDKG,2025-10-29,0.0515,0.0572,0.05,0.052599
YDKG,2025-10-30,0.0481,0.05,0.0442,0.0459
YDKG,2025-10-31,0.061,0.0643,0.0521,0.0563
YDKG,2025-11-03,0.0611,0.062,0.055,0.0559
YDKG,2025-11-04,0.0513,0.06549,0.049,0.054
YDKG,2025-11-05,0.0527,0.0536,0.0455,0.051
YDKG,2025-11-06,0.0515,0.054,0.0491,0.051
YDKG,2025-11-07,0.05,0.0512,0.042,0.0502
YDKG,2025-11-10,0.0366,0.0381,0.0289,0.0323
YDKG,2025-11-11,0.0264,0.0284,0.025,0.0259
YDKG,2025-11-12,0.0246,0.0258,0.0218,0.0244
YDKG,2025-11-13,0.0214,0.03519,0.02,0.0201
YDKG,2025-11-14,2.1,2.24,1.65,1.7
YDKG,2025-11-17,1.56,1.59,1.37,1.48
YDKG,2025-11-18,1.4,1.465,1.28,1.37
YDKG,2025-11-19,1.35,1.6002,1.25,1.45
YDKG,2025-11-20,1.43,1.91,1.43,1.44
YDKG,2025-11-21,1.375,1.3899,1.28,1.28
YDKG,2025-11-24,1.33,1.4,1.2947,1.355
YDKG,2025-11-25,1.34,1.3793,1.3,1.33
YDKG,2025-11-26,1.36,1.5699,1.34,1.3544
YDKG,2025-11-28,1.44,1.62,1.35,1.42
YDKG,2025-12-01,1.37,1.86,1.31,1.79
YDKG,2025-12-02,1.9,2.5,0.99,1.3
YDKG,2025-12-03,1.3,1.34,1.11,1.21
YDKG,2025-12-04,1.24,1.3,1.1995,1.25
YDKG,2025-12-05,1.27,1.27,1.05,1.14
YDKG,2025-12-08,1.15,1.29,1.15,1.2299
YDKG,2025-12-09,1.19,1.23,1.1,1.14
YDKG,2025-12-10,1.13,1.1451,1.02,1.047
YDKG,2025-12-11,1.02,1.12,1.02,1.1
YDKG,2025-12-12,1.09,1.0919,0.95,0.9526
YDKG,2025-12-15,0.9568,0.9991,0.891,0.8939
YDKG,2025-12-16,0.8999,0.8999,0.8087,0.8266
YDKG,2025-12-17,0.8249,0.8839,0.8227,0.8715
YDKG,2025-12-18,0.9,0.9589,0.8793,0.9064
YDKG,2025-12-19,0.917,0.9539,0.8625,0.9119
YDKG,2025-12-22,0.9129,0.987,0.9,0.9201
YDKG,2025-12-23,0.9348,0.95,0.9069,0.9261
YDKG,2025-12-24,0.9,0.99,0.9,0.9326
YDKG,2025-12-26,0.91,1.03,0.8422,0.9649
YDKG,2025-12-29,0.9252,0.9489,0.861,0.8846
YDKG,2025-12-30,0.8699,0.979899,0.8603,0.9553
YDKG,2025-12-31,0.9266,0.9997,0.9111,0.9245
YDKG,2026-01-02,0.8968,1.09,0.8968,1.04
YDKG,2026-01-05,0.9999,1.16,0.9999,1.1
YDKG,2026-01-06,1.09,1.2,1.04,1.1
YDKG,2026-01-07,1.1,1.12,1.06,1.11
YDKG,2026-01-08,1.1,1.2599,1.09,1.19
YDKG,2026-01-09,1.19,1.205,1.03,1.06
YDKG,2026-01-12,1.1,1.105,1.02,1.02
YDKG,2026-01-13,1.04,1.05,1.0,1.01
YDKG,2026-01-14,1.01,1.0383,0.9842,1.02
YDKG,2026-01-15,1.0,1.08,0.9841,1.01
YDKG,2026-01-16,1.03,1.05,0.9889,1.0
YDKG,2026-01-20,0.96,1.03,0.93,1.0
YDKG,2026-01-21,0.9656,1.02,0.9551,0.9657
YDKG,2026-01-22,0.961,0.9982,0.788,0.8792
YDKG,2026-01-23,0.8981,1.1301,0.8922,0.9258
YDKG,2026-01-26,0.9399,0.9546,0.875001,0.9191
YDKG,2026-01-27,0.9302,0.9496,0.879,0.9034
YDKG,2026-01-28,0.89,0.95,0.87,0.8879
YDKG,2026-01-29,0.886,0.9287,0.843,0.87965
YDKG,2026-01-30,0.873,1.15,0.8513,1.12
YDKG,2026-02-02,1.06,1.06,0.9241,0.9497
