ticker,date,open,high,low,close
YHC,2025-01-27,1.25,1.28,1.15,1.18
YHC,2025-01-28,1.15,1.25,1.15,1.24
YHC,2025-01-29,1.2,1.24,1.2,1.21
YHC,2025-01-30,1.22,1.28,1.1618,1.24
YHC,2025-01-31,1.26,1.26,1.12,1.14
YHC,2025-02-03,1.1,1.1399,1.0,1.1
YHC,2025-02-04,1.01,1.12,1.0058,1.03
YHC,2025-02-05,1.09,1.1283,0.82,0.86
YHC,2025-02-06,0.87,0.89999,0.78,0.8122
YHC,2025-02-07,0.88,0.899,0.8271,0.85
YHC,2025-02-10,0.84,0.9,0.82,0.86
YHC,2025-02-11,0.831,0.8593,0.8124,0.834
YHC,2025-02-12,0.85,1.23,0.85,1.15
YHC,2025-02-13,1.13,1.24,0.9932,1.06
YHC,2025-02-14,1.0,1.1,1.0,1.05
YHC,2025-02-18,1.05,1.14,1.05,1.08
YHC,2025-02-19,1.1262,1.1399,1.06,1.0801
YHC,2025-02-20,1.08,1.11,1.03,1.06
YHC,2025-02-21,1.09,1.18,1.0213,1.15
YHC,2025-02-24,1.16,1.53,1.15,1.41
YHC,2025-02-25,1.37,1.41,1.27,1.39
YHC,2025-02-26,1.29,1.62,1.18,1.38
YHC,2025-02-27,1.35,1.54,1.31,1.5
YHC,2025-02-28,1.58,1.83,1.38,1.56
YHC,2025-03-03,1.51,1.75,1.51,1.65
YHC,2025-03-04,1.66,1.7615,1.66,1.73
YHC,2025-03-05,1.7,1.97,1.54,1.95
YHC,2025-03-06,1.86,1.93,1.81,1.85
YHC,2025-03-07,1.82,2.0,1.79,1.94
YHC,2025-03-10,1.86,2.1,1.86,2.0
YHC,2025-03-11,1.67,1.67,1.6,1.67
YHC,2025-03-12,1.6,2.1,1.6,2.02
YHC,2025-03-13,1.99,2.03,1.72,1.85
YHC,2025-03-14,1.9236,2.0,1.805,1.89
YHC,2025-03-17,1.85,2.2,1.74,2.12
YHC,2025-03-18,2.162,2.52,2.02,2.43
YHC,2025-03-19,2.36,2.8,2.33,2.6
YHC,2025-03-20,2.61,2.76,2.27,2.27
YHC,2025-03-21,2.4,2.415,0.3664,0.4
YHC,2025-03-24,0.4077,0.4193,0.24,0.2621
YHC,2025-03-25,0.2454,0.255,0.225,0.2402
YHC,2025-03-26,0.2401,0.2622,0.2401,0.2462
YHC,2025-03-27,0.2502,0.2503,0.2112,0.221
YHC,2025-03-28,0.221,0.23,0.203,0.2168
YHC,2025-03-31,0.2083,0.2083,0.185,0.1973
YHC,2025-04-01,0.1945,0.1997,0.1861,0.1901
YHC,2025-04-02,0.185,0.1862,0.1718,0.18
YHC,2025-04-03,0.1698,0.1744,0.1518,0.1593
YHC,2025-04-04,0.1598,0.16,0.14,0.1551
YHC,2025-04-07,0.13,0.1632,0.13,0.1609
YHC,2025-04-08,0.165,0.1868,0.158,0.1637
YHC,2025-04-09,0.15,0.1749,0.15,0.163
YHC,2025-04-10,0.176,0.176,0.176,0.176
YHC,2025-04-11,0.1768,0.1859,0.1768,0.182
YHC,2025-04-14,0.181,0.193,0.1758,0.186
YHC,2025-04-15,0.19,0.1942,0.1835,0.191
YHC,2025-04-16,0.1479,0.16,0.125,0.1306
YHC,2025-04-17,0.1216,0.1263,0.1201,0.124
YHC,2025-04-21,4.02,4.6695,3.1893,3.6963
YHC,2025-04-22,3.445,3.45,2.69,2.86
YHC,2025-04-23,3.02,3.09,2.6001,2.81
YHC,2025-04-24,2.77,2.77,2.4,2.67
YHC,2025-04-25,2.65,2.8,2.31,2.34
YHC,2025-04-28,2.2301,2.2301,2.0605,2.2301
YHC,2025-04-29,2.17,2.24,2.12,2.14
YHC,2025-04-30,1.94,1.94,1.93,1.94
YHC,2025-05-01,1.91,1.94,1.83,1.86
YHC,2025-05-02,1.86,2.48,1.86,2.09
YHC,2025-05-05,2.08,2.167,1.91,1.96
YHC,2025-05-06,1.95,1.9746,1.85,1.9
YHC,2025-05-07,1.865,1.91,1.76,1.85
YHC,2025-05-08,1.82,1.9311,1.81,1.88
YHC,2025-05-09,1.89,2.25,1.8434,1.99
YHC,2025-05-12,3.85,7.7,1.85,2.19
YHC,2025-05-13,1.82,1.91,1.57,1.57
YHC,2025-05-14,1.57,1.65,1.32,1.56
YHC,2025-05-15,1.47,1.47,1.3803,1.41
YHC,2025-05-16,1.43,1.584,1.3854,1.55
YHC,2025-05-19,1.54,1.57,1.3,1.51
YHC,2025-05-20,1.49,1.57,1.42,1.46
YHC,2025-05-21,1.44,1.5,1.38,1.43
YHC,2025-05-22,1.39,1.4199,1.34,1.38
YHC,2025-05-23,1.35,1.36,1.28,1.32
YHC,2025-05-27,1.29,1.33,1.2601,1.28
YHC,2025-05-28,1.3,1.34,1.27,1.34
YHC,2025-05-29,1.32,1.42,1.32,1.35
YHC,2025-05-30,1.36,1.37,1.21,1.28
YHC,2025-06-02,1.34,1.34,1.25,1.27
YHC,2025-06-03,1.23,1.315,1.23,1.3
YHC,2025-06-04,1.24,1.445,1.24,1.44
YHC,2025-06-05,1.38,1.38,1.29,1.36
YHC,2025-06-06,1.37,1.5,1.3,1.4
YHC,2025-06-09,1.38,1.415,1.3503,1.39
YHC,2025-06-10,1.38,1.3844,1.28,1.29
YHC,2025-06-11,1.28,1.3599,1.28,1.34
YHC,2025-06-12,1.4,1.41,1.26,1.28
YHC,2025-06-13,1.205,1.29,1.17,1.21
YHC,2025-06-16,1.14,1.24,1.13,1.21
YHC,2025-06-17,1.2,1.35,1.16,1.3
YHC,2025-06-18,1.21,1.3497,1.21,1.32
YHC,2025-06-20,1.33,1.33,1.26,1.26
YHC,2025-06-23,1.22,1.27,1.21,1.22
YHC,2025-06-24,1.22,1.24,1.205,1.24
YHC,2025-06-25,1.24,1.27,1.21,1.21
YHC,2025-06-26,1.18,1.31,1.18,1.31
YHC,2025-06-27,1.3,1.36,1.27,1.295
YHC,2025-06-30,1.3,1.52,1.27,1.47
YHC,2025-07-01,1.5,2.0199,1.4606,2.0
YHC,2025-07-02,1.94,1.94,1.5446,1.61
YHC,2025-07-03,1.62,1.91,1.59,1.91
YHC,2025-07-07,1.93,2.05,1.67,1.96
YHC,2025-07-08,1.97,2.02,1.81,1.97
YHC,2025-07-09,1.92,1.9583,1.86,1.93
YHC,2025-07-10,1.91,2.02,1.8901,1.97
YHC,2025-07-11,2.6,2.6,2.6,2.6
YHC,2025-07-14,3.5,4.94,3.06,4.6
YHC,2025-07-15,3.46,4.2296,2.95,3.95
YHC,2025-07-16,4.61,11.11,4.17,10.73
YHC,2025-07-17,8.96,9.0,5.77,6.57
YHC,2025-07-18,2.58,2.93,2.111,2.38
YHC,2025-07-21,2.25,2.27,1.51,1.67
YHC,2025-07-22,1.69,1.92,1.65,1.73
YHC,2025-07-23,1.81,1.95,1.74,1.83
YHC,2025-07-24,1.74,1.7792,1.52,1.56
YHC,2025-07-25,1.6,1.9,1.6,1.78
YHC,2025-07-28,1.85,1.9,1.6,1.63
YHC,2025-07-29,1.69,1.73,1.55,1.59
YHC,2025-07-30,1.58,1.61,1.41,1.44
