ticker,date,open,high,low,close
ZDAI,2025-05-16,0.78,0.78,0.6226,0.6272
ZDAI,2025-05-19,0.6389,0.7381,0.6389,0.688
ZDAI,2025-05-20,0.69,0.7221,0.64,0.722
ZDAI,2025-05-21,0.7,0.98,0.6995,0.7812
ZDAI,2025-05-22,0.79,0.9373,0.7718,0.8493
ZDAI,2025-05-23,0.8752,0.9228,0.8299,0.86
ZDAI,2025-05-27,0.85,0.884799,0.8005,0.84
ZDAI,2025-05-28,0.81,0.8462,0.7691,0.8127
ZDAI,2025-05-29,0.8349,0.87,0.813,0.821
ZDAI,2025-05-30,0.8687,0.8798,0.82181,0.8272
ZDAI,2025-06-02,0.812,0.865,0.812,0.859
ZDAI,2025-06-03,0.85,0.8575,0.7963,0.8196
ZDAI,2025-06-04,0.82,0.82,0.76,0.7777
ZDAI,2025-06-05,0.7652,0.82,0.7641,0.7949
ZDAI,2025-06-06,0.7902,0.839,0.7814,0.8291
ZDAI,2025-06-09,0.8326,0.8701,0.80505,0.851
ZDAI,2025-06-10,0.8608,0.8699,0.815,0.8468
ZDAI,2025-06-11,0.8216,0.86,0.8216,0.841
ZDAI,2025-06-12,0.821,0.859,0.815,0.84
ZDAI,2025-06-13,0.8,0.8699,0.8,0.8402
ZDAI,2025-06-16,0.8642,0.87,0.8027,0.838
ZDAI,2025-06-17,0.83,0.8601,0.8295,0.8523
ZDAI,2025-06-18,0.8523,1.0199,0.85,0.93
ZDAI,2025-06-20,0.9593,0.9686,0.87,0.884
ZDAI,2025-06-23,0.8305,0.8759,0.8188,0.85
ZDAI,2025-06-24,0.8305,0.8501,0.814,0.825
ZDAI,2025-06-25,0.825,0.8289,0.8056,0.82
ZDAI,2025-06-26,0.82,0.8303,0.7387,0.7899
ZDAI,2025-06-27,0.7599,0.7999,0.74,0.7808
ZDAI,2025-06-30,0.79,0.82,0.7608,0.7824
ZDAI,2025-07-01,0.7705,0.7985,0.7605,0.7838
ZDAI,2025-07-02,0.752,0.7847,0.75111,0.7655
ZDAI,2025-07-03,0.774,0.7741,0.7501,0.7741
ZDAI,2025-07-07,0.7603,0.773,0.7382,0.7433
ZDAI,2025-07-08,0.75,0.7639,0.72,0.7499
ZDAI,2025-07-09,0.7274,0.74,0.7164,0.729499
ZDAI,2025-07-10,0.7295,0.7295,0.6988,0.7175
ZDAI,2025-07-11,0.71,0.724,0.6927,0.6927
ZDAI,2025-07-14,0.6999,0.6999,0.6236,0.68
ZDAI,2025-07-15,0.6529,0.6749,0.6529,0.663
ZDAI,2025-07-16,0.6225,0.68,0.6225,0.668
ZDAI,2025-07-17,0.7,0.7,0.6389,0.6524
ZDAI,2025-07-18,0.64,0.6502,0.62,0.625
ZDAI,2025-07-21,0.6295,0.66,0.61,0.64
ZDAI,2025-07-22,0.6688,0.6688,0.6122,0.642
ZDAI,2025-07-23,0.62,0.655,0.62,0.640567
ZDAI,2025-07-24,0.675,0.675,0.61,0.63005
ZDAI,2025-07-25,0.61,0.64,0.5845,0.5986
ZDAI,2025-07-28,0.591,0.6299,0.56,0.578
ZDAI,2025-07-29,0.55,0.578,0.5201,0.5476
ZDAI,2025-07-30,0.52,0.5476,0.5014,0.5145
ZDAI,2025-07-31,0.535062,0.535062,0.4721,0.496
ZDAI,2025-08-01,0.486,0.5098,0.4541,0.5098
ZDAI,2025-08-04,0.488,0.516,0.473,0.485
ZDAI,2025-08-05,0.501151,0.51,0.481,0.4962
ZDAI,2025-08-06,0.48,0.4961,0.48,0.4959
ZDAI,2025-08-07,0.4958,0.575,0.49,0.541
ZDAI,2025-08-08,0.5,0.559,0.5,0.5202
ZDAI,2025-08-11,0.5057,0.5399,0.477,0.5225
ZDAI,2025-08-12,0.5199,0.5459,0.51,0.5459
ZDAI,2025-08-13,0.5411,0.5496,0.51,0.5452
ZDAI,2025-08-14,0.5261,0.5522,0.5261,0.5498
ZDAI,2025-08-15,0.5439,0.5498,0.5221,0.5253
ZDAI,2025-08-18,0.5252,0.559,0.5,0.521
ZDAI,2025-08-19,0.51,0.5149,0.4585,0.4702
ZDAI,2025-08-20,0.499,0.6925,0.4763,0.4921
ZDAI,2025-08-21,0.4557,0.5,0.4551,0.465
ZDAI,2025-08-22,0.465,0.515,0.4552,0.515
ZDAI,2025-08-25,0.4995,0.5626,0.4873,0.535
ZDAI,2025-08-26,0.52,0.545,0.494,0.545
ZDAI,2025-08-27,0.5329,0.545,0.5104,0.5199
ZDAI,2025-08-28,0.538,0.538,0.4595,0.49
ZDAI,2025-08-29,0.505,0.505,0.4801,0.4855
ZDAI,2025-09-02,0.49,0.5061,0.46,0.4741
ZDAI,2025-09-03,0.4735,0.48175,0.46,0.4705
ZDAI,2025-09-04,0.497,0.497,0.46,0.4748
ZDAI,2025-09-05,0.4808,0.4808,0.4066,0.4359
ZDAI,2025-09-08,0.44,0.4498,0.4016,0.417699
ZDAI,2025-09-09,0.42,0.4298,0.385,0.4031
ZDAI,2025-09-10,0.43,0.432643,0.4032,0.4172
ZDAI,2025-09-11,0.4699,0.887,0.452,0.5966
ZDAI,2025-09-12,0.517,0.6351,0.517,0.5595
ZDAI,2025-09-15,0.5703,0.608,0.5341,0.565
ZDAI,2025-09-16,0.548,0.5833,0.526,0.5688
ZDAI,2025-09-17,0.5485,0.619,0.5405,0.59
ZDAI,2025-09-18,0.575,0.6398,0.5602,0.6299
ZDAI,2025-09-19,0.6216,0.68275,0.606,0.6713
ZDAI,2025-09-22,0.6515,0.767,0.6515,0.6828
ZDAI,2025-09-23,0.7036,0.7117,0.6609,0.6952
ZDAI,2025-09-24,0.6952,0.75,0.6893,0.7316
ZDAI,2025-09-25,0.731,0.7487,0.712,0.734
ZDAI,2025-09-26,0.711,0.733,0.6703,0.6703
ZDAI,2025-09-29,0.68,0.68,0.63,0.6596
ZDAI,2025-09-30,0.6989,0.699,0.6343,0.6749
ZDAI,2025-10-01,0.6725,0.6796,0.6353,0.6501
ZDAI,2025-10-02,0.648,0.6709,0.6297,0.6575
ZDAI,2025-10-03,0.65,0.6575,0.6302,0.652
ZDAI,2025-10-06,0.6551,0.6662,0.6398,0.658
ZDAI,2025-10-07,0.6483,0.6621,0.611,0.654
ZDAI,2025-10-08,0.6401,0.654,0.5879,0.5879
ZDAI,2025-10-09,0.6,0.63,0.586,0.6063
ZDAI,2025-10-10,0.6,0.6121,0.5616,0.5616
ZDAI,2025-10-13,0.5975,0.5977,0.5271,0.5651
ZDAI,2025-10-14,0.5305,0.573,0.5305,0.56045
ZDAI,2025-10-15,0.571,0.5999,0.569,0.585
ZDAI,2025-10-16,0.5867,0.5867,0.53,0.5383
ZDAI,2025-10-17,0.5632,0.5632,0.5,0.5206
ZDAI,2025-10-20,0.5277,0.5591,0.5206,0.535
ZDAI,2025-10-21,0.53245,0.5348,0.5109,0.5348
